label,ingredients,calGold,gGold,isScaled
Onions,single,200,475,unscaled
Cauliflower,single,300,1200,scaled
Avocado,single,200,125,unscaled
Gouda Cheese,single,300,84,scaled
Brown Rice,single,420,297.7,unscaled
Ham,single,300,185.1,scaled
Cheeseburger,mixed,270,104,unscaled
Hot Dog,mixed,310,123,unscaled
Tuna Sandwich,mixed,720,420,scaled
Matcha Cake,mixed,136,40,unscaled
Baked Potato,single,100,141.7,unscaled
Broccoli,single,200,588,unscaled
Kiwi Fruit,single,200,328,unscaled
Cheddar Cheese,single,200,51,unscaled
Cereal,single,200,55,unscaled
Pork Salami,single,300,72.9,scaled
Long Cheeseburger,mixed,590,213,unscaled
Spicy Italian Pizza,mixed,240,97,unscaled
Turkey Sandwich,mixed,510,254,scaled
Swiss Roll,mixed,251,96,unscaled
