input	target	output	avg loss:0.7389134450469389
substitution statement 1: climate is generally described in terms of temperature and moisture  . statement 2: fire behavior is driven by local weather conditions such as winds, temperature and moisture  . hint:  is terms climate described local weather of generally conditions in . </s>	climate is generally described in terms of local weather conditions . </s>	climate is generally described in terms of weather conditions.
substitution statement 1: climate is generally described in terms of temperature and moisture  . statement 2: instructions climate climate varies according to altitude  . hint:  and moisture varies altitude temperature . </s>	temperature and moisture varies by alltitude . </s>	temperature and moisture vary depending on altitude.
substitution statement 1: climate is generally described in terms of temperature and moisture  . statement 2: climate change is a global problem  . hint:  is moisture and temperature . </s>	temperature and moisture is changing globally . </s>	temperature and moisture are a global problem.
substitution statement 1: climate is generally described in terms of temperature and moisture  . statement 2: introduction to climate introduction climate is the average weather conditions  . hint: and  moisture terms described weather temperature of generally average conditions in . </s>	average weather conditions are generally described in terms of temperature and moisture . </s>	the average weather conditions are generally described in terms of temperature and moisture.
substitution statement 1: climate is generally described in terms of temperature and moisture  . statement 2: clouds are made of moisture and the moisture is from the water evaporating  . hint: and is water  terms climate described of the in temperature . </s>	climate is usually described in terms of temperature and water in the air  . </s>	climate is generally described in terms of temperature and water evaporation.
substitution statement 1: climate is generally described in terms of temperature and moisture  . statement 2: climate refers to weather over a long period of time  . hint: and is moisture  terms described weather of generally in temperature . </s>	weather is generally described in terms of temperature and moisture . </s>	weather is generally described in terms of temperature and moisture.
substitution statement 1: climate is generally described in terms of temperature and moisture  . statement 2: humidity is moisture in the air  . hint: and is  terms climate described of generally humidity in temperature . </s>	climate is generally described in terms of temperature and humidity  . </s>	climate is generally described in terms of temperature and humidity.
substitution statement 1: climate is generally described in terms of temperature and moisture  . statement 2: humidity is a measure of moisture content of air  . hint: and is  terms climate described of generally humidity in temperature . </s>	climate is generally described in terms of temperature and humidity  . </s>	climate is generally described in terms of temperature and humidity.
substitution statement 1: a vehicle is used for transportation . statement 2: transportation moves people and goods from one place to another  . hint: and is goods  people vehicle used to . </s>	vehicles are used to move people and goods  . </s>	a vehicle is used to move people and goods.
substitution statement 1: a vehicle is used for transportation . statement 2: passenger vehicles are the primary mode of transportation  . hint:  is transportation of mode a passenger . </s>	passenger cars are used for transportation . </s>	passenger mode of transportation is passenger mode.
substitution statement 1: a vehicle is used for transportation . statement 2: trailers and boats are counted as a private vehicles  . hint:  and boats transportation for trailers used . </s>	trailers and boats are used for transportation  . </s>	trailers and boats are used for transportation.
substitution statement 1: a vehicle is used for transportation . statement 2: cars and busses are both examples of vehicles  . hint:  for busses are used . </s>	cars and busses are used for transportation . </s>	busses are used for transportation.
substitution statement 1: a vehicle is used for transportation . statement 2: trailers and boats are counted as a private vehicles  . hint:  is boats transportation for used . </s>	boats are used for transportation   . </s>	boats are used for transportation.
substitution statement 1: a vehicle is used for transportation . statement 2: most bigger cities require efficient and adequate public transport systems  . hint:  most cities bigger require . </s>	most bigger cities require vehicles . </s>	most bigger cities require vehicles.
substitution statement 1: a vehicle is used for transportation . statement 2: all traffic vehicles are air planes  . hint:  is transportation for planes used . </s>	a plane is used for transportation . </s>	planes are used for transportation.
substitution statement 1: a vehicle is used for transportation . statement 2: cars are vehicles and trucks are vehicles  . hint:  transportation for are used trucks . </s>	trucks are used for transportation . </s>	trucks are used for transportation.
substitution statement 1: a vehicle is used for transportation . statement 2: cars are vehicles and trucks are vehicles  . hint:  is transportation for used . </s>	a car is used for transportation  . </s>	trucks are used for transportation.
substitution statement 1: a vehicle is used for transportation . statement 2: motorcycles are, for the most part, single occupant vehicles  . hint:  transportation for motorcycles used . </s>	motorcycles are used for transportation . </s>	motorcycles are used for transportation.
substitution statement 1: a vehicle is used for transportation . statement 2: if in a moving car, pull over and stop as quickly as safety permits, but stay in the vehicle  . hint:  transportation for moving used . </s>	moving cars are used for transportation . </s>	moving cars are used for transportation.
substitution statement 1: a vehicle is used for transportation . statement 2: transportation causes most of the air pollution in and around vancouver  . hint: causes pollution vehicle air a . </s>	a vehicle causes  air pollution . </s>	a vehicle causes air pollution.
substitution statement 1: collar cells have tiny hairs that trap the particles  . statement 2: collar cells or choanocytes are the work horses  . hint:  particles hairs the tiny choanocytes trap have . </s>	choanocytes have tiny hairs that trap the particles  . </s>	choanocytes have tiny hairs that trap the particles.
