adjective	mu_coefficient	intercept
acceptable	-0.0002038	-2.449
adequate	-0.0002038	-2.5617
aggressive	-0.0002038	-1.382
appropriate	-0.0002038	-2.8256
bearish	-0.0002038	-2.6069
big	-0.0002038	-1.5397
broad	-0.0002038	-1.5227
bullish	-0.0002038	-1.988
clear	-0.0002038	-2.2378
comfortable	-0.0002038	-2.2667
competitive	-0.0002038	-1.9112
conservative	-0.0002038	-3.603
considerable	-0.0002038	-1.56
conventional	-0.0002038	-2.8008
critical	-0.0002038	-1.6821
crucial	-0.0002038	-1.892
deep	-0.0002038	-1.5393
disappointing	-0.0002038	-5.088
dramatic	-0.0002038	-1.114
excessive	-0.0002038	-1.111
extensive	-0.0002038	-1.355
extraordinary	-0.0002038	-1.105
fair	-0.0002038	-2.54395
familiar	-0.0002038	-2.44895032
favorable	-0.0002038	-2.1243
fine	-0.0002038	-2.671
firm	-0.0002038	-2.1578
fundamental	-0.0002038	-2.2397
generous	-0.0002038	-1.6156
good	-0.0002038	-2.1383
grand	-0.0002038	-1.393
great	-0.0002038	-1.312
healthy	-0.0002038	-2.0829
hefty	-0.0002038	-1.4782
high	-0.0002038	-1.4958
huge	-0.0002038	-1.175
important	-0.0002038	-2.2692
impressive	-0.0002038	-1.7153
inadequate	-0.0002038	-5.032
intense	-0.0002038	-1.599
large	-0.0002038	-1.6731
legitimate	-0.0002038	-2.3232
liberal	-0.0002038	-1.7781
light	-0.0002038	-3.717
likely	-0.0002038	-2.8113
little	-0.0002038	-3.922
low	-0.0002038	-3.957
major	-0.0002038	-1.4649
minor	-0.0002038	-3.781
moderate	-0.0002038	-2.3411
modest	-0.0002038	-2.8893
narrow	-0.0002038	-4.217
nice	-0.0002038	-2.0042
normal	-0.0002038	-2.8535
obvious	-0.0002038	-1.8885
ordinary	-0.0002038	-2.8447
outstanding	-0.0002038	-1.345
poor	-0.0002038	-4.903
positive	-0.0002038	-2.5918
powerful	-0.0002038	-1.412
prominent	-0.0002038	-1.8024
promising	-0.0002038	-1.9364
radical	-0.0002038	-1.308
rare	-0.0002038	-2.0359
reasonable	-0.0002038	-2.4822
regular	-0.0002038	-2.9639
relative	-0.0002038	-2.6373
remarkable	-0.0002038	-1.228
rich	-0.0002038	-1.7966
routine	-0.0002038	-3.0227
sensitive	-0.0002038	-3.539
serious	-0.0002038	-1.5612
severe	-0.0002038	-1.11
sharp	-0.0002038	-1.5709
significant	-0.0002038	-1.587
sizable	-0.0002038	-1.8068
slight	-0.0002038	-4.05
small	-0.0002038	-3.724
solid	-0.0002038	-2.0496
sound	-0.0002038	-2.0822
stable	-0.0002038	-2.7895
steep	-0.0002038	-1.5595
striking	-0.0002038	-1.356
strong	-0.0002038	-1.698
substantial	-0.0002038	-1.4612
surprising	-0.0002038	-1.5524
thin	-0.0002038	-3.854
tight	-0.0002038	-3.489
tiny	-0.0002038	-4.787
traditional	-0.0002038	-2.5745
typical	-0.0002038	-2.7315
unexpected	-0.0002038	-1.4556
unusual	-0.0002038	-1.8054
usual	-0.0002038	-2.53729
valuable	-0.0002038	-1.6584
vital	-0.0002038	-2.1454
weak	-0.0002038	-4.293
