"","turker","adjective","response","mean","onestdev","respdev","had_negative","logrespdev"
"1","T_330915","relative",3200,3150,80,0.625,"noNog",-0.470003629245735
"81","T_6468097","relative",8800,8710,80,1.125,"noNog",0.117783035656384
"101","T_3983240","relative",3523,3390,480,0.277083333333,"noNog",-1.28343697568139
"121","T_6605231","relative",10240,10140,400,0.25,"noNog",-1.38629436111989
"161","T_2032567","relative",1422,1400,25,0.88,"noNog",-0.127833371509885
"181","T_5896210","relative",3940,3910,120,0.25,"noNog",-1.38629436111989
"201","T_3567432","relative",6160,6060,160,0.625,"noNog",-0.470003629245735
"221","T_5429916","relative",1680,1670,170,0.0588235294118,"noNog",-2.83321334405561
"241","T_9040925","relative",4500,4080,485,0.865979381443,"noNog",-0.143894179660414
"261","T_2187949","relative",6500,6280,400,0.55,"noNog",-0.59783700075562
"281","T_6987667","relative",1600,1490,210,0.52380952381,"noNog",-0.646627164924143
"321","T_94744","relative",11000,10380,465,1.33333333333,"noNog",0.287682072449281
"381","T_6453084","relative",1750,1620,215,0.604651162791,"noNog",-0.50310357767158
"401","T_3757827","relative",1130,1110,50,0.4,"noNog",-0.916290731874154
"421","T_1771975","relative",6580,6520,290,0.206896551724,"noNog",-1.57553636075908
"441","T_8894480","relative",6400,6200,200,1,"noNog",2.22044604925031e-16
"481","T_2257827","relative",3900,3710,350,0.542857142857,"noNog",-0.610909082323236
"521","T_7332968","relative",5500,5350,225,0.666666666667,"noNog",-0.405465108107664
"541","T_1562652","relative",2600,2360,345,0.695652173913,"noNog",-0.362905493689431
"561","T_5659439","relative",7300,7190,430,0.255813953488,"noNog",-1.36330484289665
"601","T_4286557","relative",2600,2530,395,0.177215189873,"noNog",-1.73039052285412
"621","T_7308371","relative",4650,4640,15,0.666666666667,"noNog",-0.405465108107664
"641","T_776234","relative",8330,8320,40,0.25,"noNog",-1.38629436111989
"661","T_4394973","relative",4802,4630,215,0.8,"noNog",-0.223143551314209
"681","T_5696457","relative",10400,10270,405,0.320987654321,"noNog",-1.13635261665092
"701","T_901679","relative",9300,9210,320,0.28125,"noNog",-1.26851132546351
"721","T_4189793","relative",900,800,140,0.714285714286,"noNog",-0.336472236620813
"761","T_2905681","relative",2000,1820,190,0.947368421053,"noNog",-0.0540672212698866
"781","T_914035","relative",4200,3960,405,0.592592592593,"noNog",-0.52324814376386
"801","T_7294921","relative",2800,2580,380,0.578947368421,"noNog",-0.54654370636816
"821","T_8960927","relative",2600,2130,485,0.969072164948,"noNog",-0.0314161962338468
"841","T_6084074","relative",6300,6070,445,0.516853932584,"noNog",-0.659994973243566
"921","T_4267653","relative",920,880,390,0.102564102564,"noNog",-2.27726728501075
"941","T_8678864","relative",8600,8460,470,0.297872340426,"noNog",-1.21109027209323
"961","T_2818415","relative",9638,9510,95,1.34736842105,"noNog",0.298153372317123
"981","T_287849","relative",10520,10150,495,0.747474747475,"noNog",-0.291054756930082
"2","T_330915","little",5400,5340,490,0.122448979592,"noNog",-2.10006082888124
"82","T_6468097","little",1900,1870,55,0.545454545455,"noNog",-0.606135803569482
"102","T_3983240","little",2770,2740,60,0.5,"noNog",-0.693147180559945
"122","T_6605231","little",525,510,30,0.5,"noNog",-0.693147180559945
"162","T_2032567","little",5892,5890,10,0.2,"noNog",-1.6094379124341
"182","T_5896210","little",9500,9450,310,0.161290322581,"noNog",-1.82454929204884
"202","T_3567432","little",6750,6730,345,0.0579710144928,"noNog",-2.84781214347657
"222","T_5429916","little",5140,5120,385,0.0519480519481,"noNog",-2.95751106073286
"242","T_9040925","little",2000,1830,325,0.523076923077,"noNog",-0.648026745279328
"262","T_2187949","little",4700,4640,140,0.428571428571,"noNog",-0.847297860388203
"282","T_6987667","little",1850,1770,440,0.181818181818,"noNog",-1.70474809223942
"322","T_94744","little",3470,3460,235,0.0425531914894,"noNog",-3.15700042114921
"342","T_3985992","little",1700,1600,330,0.30303030303,"noNog",-1.19392246847343
"382","T_6453084","little",3400,3340,435,0.137931034483,"noNog",-1.98100146886483
"402","T_3757827","little",2890,2880,105,0.0952380952381,"noNog",-2.35137525716343
"422","T_1771975","little",7030,6950,335,0.238805970149,"noNog",-1.43210389715225
"442","T_8894480","little",3850,3700,270,0.555555555556,"noNog",-0.587786664901319
"462","T_5826734","little",3920,3870,110,0.454545454545,"noNog",-0.78845736036527
"482","T_2257827","little",8090,8060,365,0.0821917808219,"noNog",-2.49869997192055
"502","T_9289161","little",7390,7370,120,0.166666666667,"noNog",-1.79175946922605
"522","T_7332968","little",3020,2980,410,0.0975609756098,"noNog",-2.32727770558397
"542","T_1562652","little",3900,3870,395,0.0759493670886,"noNog",-2.57768838323906
"562","T_5659439","little",2210,2200,70,0.142857142857,"noNog",-1.94591014905631
"602","T_4286557","little",1330,1320,405,0.0246913580247,"noNog",-3.70130197411213
"622","T_7308371","little",2150,2130,450,0.0444444444444,"noNog",-3.11351530921137
"662","T_4394973","little",9545,9540,10,0.5,"noNog",-0.693147180559945
"682","T_5696457","little",2600,2590,275,0.0363636363636,"noNog",-3.31418600467352
"702","T_901679","little",2200,2040,435,0.367816091954,"noNog",-1.00017221585492
"722","T_4189793","little",7312,7310,5,0.4,"noNog",-0.916290731874154
"762","T_2905681","little",4200,4140,350,0.171428571429,"noNog",-1.76358859225886
"782","T_914035","little",8650,8610,225,0.177777777778,"noNog",-1.72722094808923
"802","T_7294921","little",610,590,165,0.121212121212,"noNog",-2.11021320034759
"842","T_6084074","little",2400,2340,180,0.333333333333,"noNog",-1.09861228866911
"922","T_4267653","little",3780,3700,480,0.166666666667,"noNog",-1.79175946922605
"942","T_8678864","little",9600,9530,270,0.259259259259,"noNog",-1.34992671695001
"962","T_2818415","little",3593,3550,290,0.148275862069,"noNog",-1.90868080728672
"982","T_287849","little",4255,4250,225,0.0222222222222,"noNog",-3.80666248977131
"3","T_330915","big",7650,7480,90,1.88888888889,"noNog",0.635988766720585
"83","T_6468097","big",4350,4200,115,1.30434782609,"noNog",0.265703165735339
"103","T_3983240","big",1990,1760,115,2,"noNog",0.693147180559945
"123","T_6605231","big",1275,950,165,1.9696969697,"noNog",0.677879708430695
"163","T_2032567","big",1777,1420,215,1.66046511628,"noNog",0.507097753652537
"183","T_5896210","big",9980,9880,70,1.42857142857,"noNog",0.356674943937733
"223","T_5429916","big",10100,9350,440,1.70454545455,"noNog",0.533298479620716
"263","T_2187949","big",5100,4700,295,1.35593220339,"noNog",0.304489190768287
"283","T_6987667","big",2300,1860,495,0.888888888889,"noNog",-0.117783035656258
"323","T_94744","big",2400,1660,375,1.97333333333,"noNog",0.679724160226116
"343","T_3985992","big",4350,3540,455,1.78021978022,"noNog",0.576736828715658
"383","T_6453084","big",5300,4970,335,0.985074626866,"noNog",-0.015037877364207
"403","T_3757827","big",3000,2600,305,1.31147540984,"noNog",0.271152770503571
"443","T_8894480","big",4125,3360,495,1.54545454545,"noNog",0.435318071254904
"463","T_5826734","big",6250,5630,420,1.47619047619,"noNog",0.389464766761401
"483","T_2257827","big",3960,3560,460,0.869565217391,"noNog",-0.139761942375508
"503","T_9289161","big",1800,1740,65,0.923076923077,"noNog",-0.0800427076734529
"523","T_7332968","big",7760,7460,365,0.821917808219,"noNog",-0.196114878926507
"543","T_1562652","big",2900,2660,85,2.82352941176,"noNog",1.03798766685001
"563","T_5659439","big",550,410,95,1.47368421053,"noNog",0.387765531011264
"603","T_4286557","big",4400,4100,200,1.5,"noNog",0.405465108108165
"623","T_7308371","big",11300,10600,480,1.45833333333,"noNog",0.377294231139182
"643","T_776234","big",10400,9970,385,1.11688311688,"noNog",0.110541874397033
"663","T_4394973","big",3410,3190,140,1.57142857143,"noNog",0.451985123743966
"683","T_5696457","big",1500,1230,270,1,"noNog",2.22044604925031e-16
"703","T_901679","big",6500,6210,180,1.61111111111,"noNog",0.47692407208962
"763","T_2905681","big",8000,7810,75,2.53333333333,"noNog",0.92953595862286
"783","T_914035","big",7500,7130,315,1.1746031746,"noNog",0.160930366809935
"803","T_7294921","big",8300,7660,440,1.45454545455,"noNog",0.374693449444536
"823","T_8960927","big",3350,2410,470,2,"noNog",0.693147180559945
"843","T_6084074","big",3940,3890,30,1.66666666667,"noNog",0.510825623767991
"923","T_4267653","big",9900,9140,490,1.55102040816,"noNog",0.438913042173599
"943","T_8678864","big",9100,8910,140,1.35714285714,"noNog",0.305381649549077
"983","T_287849","big",3880,3810,40,1.75,"noNog",0.559615787935423
"4","T_330915","favorable",10200,9780,315,1.33333333333,"noNog",0.287682072449281
"84","T_6468097","favorable",4200,3780,240,1.75,"noNog",0.559615787935423
"104","T_3983240","favorable",4600,4190,475,0.863157894737,"noNog",-0.147157644336105
"124","T_6605231","favorable",2675,2400,145,1.89655172414,"noNog",0.640037355247088
"164","T_2032567","favorable",6990,6700,340,0.852941176471,"noNog",-0.159064694629204
"184","T_5896210","favorable",4750,4500,460,0.54347826087,"noNog",-0.609765571620094
"204","T_3567432","favorable",660,650,5,2,"noNog",0.693147180559945
"224","T_5429916","favorable",6875,6820,355,0.154929577465,"noNog",-1.86478460424158
"264","T_2187949","favorable",6800,6270,400,1.325,"noNog",0.281412459438186
"284","T_6987667","favorable",6500,5870,460,1.36956521739,"noNog",0.314493329901485
"324","T_94744","favorable",5500,5110,300,1.3,"noNog",0.262364264467491
"344","T_3985992","favorable",4777,4600,100,1.77,"noNog",0.570979546585738
"384","T_6453084","favorable",8100,7820,365,0.767123287671,"noNog",-0.265107750413545
"404","T_3757827","favorable",3300,2890,420,0.97619047619,"noNog",-0.0240975515795481
"424","T_1771975","favorable",8200,8100,410,0.243902439024,"noNog",-1.41098697371186
"444","T_8894480","favorable",1540,1220,360,0.888888888889,"noNog",-0.117783035656258
"464","T_5826734","favorable",5705,5680,180,0.138888888889,"noNog",-1.97408102602121
"484","T_2257827","favorable",10100,9810,335,0.865671641791,"noNog",-0.144249608844598
"504","T_9289161","favorable",7800,7300,395,1.26582278481,"noNog",0.23572233352097
"524","T_7332968","favorable",1300,1090,310,0.677419354839,"noNog",-0.389464766761294
"544","T_1562652","favorable",10300,10170,150,0.866666666667,"noNog",-0.143100843640288
"564","T_5659439","favorable",5700,5490,175,1.2,"noNog",0.182321556793955
"604","T_4286557","favorable",5900,5850,45,1.11111111111,"noNog",0.105360515656827
"624","T_7308371","favorable",4350,4270,160,0.5,"noNog",-0.693147180559945
"644","T_776234","favorable",3090,3080,5,2,"noNog",0.693147180559945
"664","T_4394973","favorable",6415,5830,460,1.27173913043,"noNog",0.240385357744955
"684","T_5696457","favorable",2100,2020,420,0.190476190476,"noNog",-1.65822807660453
"704","T_901679","favorable",3400,2830,390,1.46153846154,"noNog",0.379489621705957
"724","T_4189793","favorable",8300,8090,200,1.05,"noNog",0.0487901641694323
"764","T_2905681","favorable",5970,5770,260,0.769230769231,"noNog",-0.262364264467191
"784","T_914035","favorable",9800,9500,300,1,"noNog",2.22044604925031e-16
"804","T_7294921","favorable",4700,4470,150,1.53333333333,"noNog",0.427444014824766
"824","T_8960927","favorable",7280,7060,110,2,"noNog",0.693147180559945
"844","T_6084074","favorable",645,550,105,0.904761904762,"noNog",-0.100083458556877
