turker,adjective,mean,onestdev,had_negative,logrespdev
T_7332968,modest,6680,475,noNog,-2.3566523142639304
T_1771975,good,2960,75,noNog,-0.0689928714873084
T_2160787,moderate,9480,455,noNog,-0.7731898882344809
T_3294681,steep,2190,225,noNog,0.32047189527638503
T_2087193,disappointing,8330,475,noNog,-2.76211742237315
T_2236218,solid,4850,195,noNog,-0.262364264467191
T_7329991,usual,1900,335,noNog,0.177334015286041
T_6350278,serious,5500,310,noNog,0.660357357738121
T_7425551,bearish,1820,40,noNog,-0.693147180559945
T_271359,hefty,9210,180,noNog,2.2204460492503099e-16
T_4196701,acceptable,960,430,noNog,-1.1221427860778002
T_8806212,stable,4900,340,noNog,-1.48514019575782
T_4772629,outstanding,7880,75,noNog,1.45083288225824
T_4286557,extraordinary,7880,230,noNog,0.693147180559945
T_7013858,clear,4490,110,noNog,2.2204460492503099e-16
T_4189793,weak,5100,205,noNog,-0.717839793149866
T_1562652,important,7570,310,noNog,0.06252035697921299
T_1105737,sound,2650,470,noNog,-0.448950220048569
T_8806212,excessive,5130,255,noNog,0.8026168889680809
T_7065854,minor,1230,300,noNog,-1.45528723260827
T_2160787,strong,3560,85,noNog,0.835463402739691
T_7329991,sharp,10230,375,noNog,0.225806668731034
T_2932006,serious,5840,240,noNog,0.650587566142889
T_3742702,sensitive,8130,230,noNog,-0.302280871872404
T_12027,broad,1530,270,noNog,0.747214401829695
T_1138011,usual,3460,40,noNog,0.40546510810816494
T_4091798,typical,1310,195,noNog,-0.0259754864032341
T_5564614,moderate,10430,385,noNog,-0.817444897238522
T_3757827,sizable,9520,375,noNog,0.246860077931526
T_216082,substantial,5830,310,noNog,0.770705414905521
T_9636949,solid,6280,490,noNog,0.733152515173056
T_4772629,minor,4130,275,noNog,-1.368275855619
T_2470690,narrow,9740,105,noNog,-1.18822444735748
T_9305725,low,9440,355,noNog,-1.77777322725356
T_9230607,fair,4890,375,noNog,-1.2264456601791298
T_9230607,regular,2790,235,noNog,-1.36524095192272
T_9558682,conventional,4190,325,noNog,-0.7086513670952851
T_6488190,fundamental,9580,40,noNog,0.559615787935423
T_9924870,crucial,7390,465,noNog,0.554996842078573
T_5611642,clear,4480,190,noNog,-0.111225635110518
T_2724315,solid,3800,35,noNog,0.35667494393773297
T_5601353,wide,10060,110,noNog,0.24116205681903102
T_9289161,tiny,5120,325,noNog,-1.40179854765523
T_7742505,surprising,1760,10,noNog,1.09861228866811
T_2034040,positive,7350,5,noNog,2.2204460492503099e-16
T_12027,traditional,6540,185,noNog,0.34032580594047196
T_5623478,adequate,10010,100,noNog,-0.35667494393873206
T_2427075,substantial,5950,355,noNog,0.34249030895007593
T_8806212,bullish,3060,460,noNog,-0.305226382102867
T_2087193,huge,7560,260,noNog,0.526093095898143
T_8633720,liberal,9220,315,noNog,-0.314493329902068
T_7425551,healthy,6220,260,noNog,-0.367724780124873
T_4262135,impressive,7550,10,noNog,0.693147180559945
T_4455068,conventional,7320,110,noNog,0.16705408466470498
T_3020286,small,5290,385,noNog,-1.2527629684963701
T_9835746,unusual,8280,70,noNog,-4.24849524205034
T_330915,modest,5470,50,noNog,2.2204460492503099e-16
T_9558682,crucial,4460,490,noNog,0.4122447950917871
T_6305655,large,8610,465,noNog,0.423227564447935
T_2187949,extraordinary,8310,220,noNog,0.6346509738764089
T_6878955,bullish,4480,460,noNog,0.448024722524183
T_4189793,good,4960,185,noNog,0.608589792533059
T_2427075,sharp,3880,370,noNog,0.12675170564343
T_9019583,reasonable,7230,340,noNog,-0.43531807125848204
T_4525111,small,3090,390,noNog,-1.87180217690259
T_2160787,conservative,9410,105,noNog,-1.39586381213623
T_3985992,modest,760,80,noNog,-0.20763936477824396
T_9289161,extraordinary,7840,80,noNog,0.693147180559945
T_3155096,conservative,5670,65,noNog,-1.87180217690259
T_9591156,steep,7030,250,noNog,0.9858167945227649
T_6585464,promising,6850,435,noNog,0.234572247136287
T_3294681,positive,860,305,noNog,-2.03143232249047
T_4031111,unusual,6320,490,noNog,0.32768740706489197
T_4091798,generous,6260,130,noNog,0.0741079721508649
T_4772629,considerable,6330,90,noNog,1.09861228866811
T_5697654,crucial,8550,135,noNog,0.105360515656827
T_9898677,remarkable,4480,265,noNog,0.67409898558752
T_7308371,legitimate,4730,265,noNog,0.0186921330138195
T_6720730,poor,1740,450,noNog,-2.01490302054476
T_5816436,vital,2720,220,noNog,0.24116205681903102
T_8126055,powerful,8310,230,noNog,0.528067430198702
T_4852781,radical,7350,275,noNog,0.693147180559945
T_2236218,radical,3590,440,noNog,0.7266698725977099
T_611790,strong,4120,450,noNog,0.33647223662121306
T_6585464,narrow,2400,475,noNog,-2.25129179860399
T_776234,favorable,3080,5,noNog,0.693147180559945
T_6878955,deep,800,210,noNog,0.35667494393773297
T_5896210,rich,3290,345,noNog,0.172612742665774
T_271359,bullish,2890,300,noNog,-1.00330210886288
T_330915,legitimate,5770,105,noNog,2.2204460492503099e-16
T_9192623,rare,1720,320,noNog,-4.15888308335966
T_510223,aggressive,3980,420,noNog,-0.271933715483329
T_9192623,traditional,1270,110,noNog,-0.78845736036527
T_1231887,nice,2940,160,noNog,2.2204460492503099e-16
T_5601353,severe,10750,470,noNog,0.5925036547814351
T_8678864,prominent,2860,65,noNog,0.7672551527154531
T_3020286,usual,5510,485,noNog,-0.9371248187759441
T_7013858,small,5590,225,noNog,-0.715620036411776
