turker,adjective,mean,onestdev,had_negative,logrespdev
T_218756,acceptable,7300,185,noNog,-0.615185639089383
T_9924870,acceptable,7160,60,noNog,-0.693147180559945
T_4852781,acceptable,2930,280,noNog,0.27871340247010196
T_2236218,acceptable,5300,375,noNog,-1.32175583998107
T_5697654,acceptable,7700,270,noNog,0.105360515656827
T_3155096,acceptable,7660,120,noNog,-0.693147180559945
T_164446,acceptable,8740,455,noNog,-2.0259528567298504
T_5564614,acceptable,5450,405,noNog,-1.13635261665092
T_6876899,acceptable,8610,420,noNog,-0.0741079721541832
T_7072619,acceptable,1390,35,noNog,-0.559615787934672
T_9778010,acceptable,7030,295,noNog,-0.551176919288999
T_1317670,acceptable,6090,175,noNog,-1.47590651981145
T_7639140,acceptable,4040,335,noNog,-0.8034952377284771
T_8694327,acceptable,3360,330,noNog,0.0298529631467402
T_611790,acceptable,4070,315,noNog,-0.559615787934672
T_9031208,acceptable,4470,270,noNog,-0.7308875085437919
T_5854614,acceptable,4310,490,noNog,-0.9473813189437119
T_2160787,acceptable,4770,215,noNog,-0.428995605517858
T_7023781,acceptable,7820,290,noNog,-0.47692407209097604
T_4031111,acceptable,2780,175,noNog,-0.664976303592693
T_5816436,acceptable,10060,90,noNog,-0.810930216217328
T_9835746,acceptable,2750,310,noNog,-1.64222773525592
T_1231887,acceptable,3070,445,noNog,-0.659994973243566
T_5895235,acceptable,1290,445,noNog,-0.750966751447819
T_4455068,acceptable,5110,425,noNog,-0.0859424298002117
T_4196701,acceptable,960,430,noNog,-1.1221427860778002
T_9274484,acceptable,3920,190,noNog,-0.864997437486479
T_3950237,acceptable,630,120,noNog,-0.538996500733258
T_551321,acceptable,9410,320,noNog,0.44628710262842
T_1892719,acceptable,9300,175,noNog,0.13353139262702302
T_6177742,acceptable,1230,210,noNog,-1.94591014905631
T_214669,acceptable,4190,265,noNog,-0.792238083204717
T_9636949,acceptable,1500,360,noNog,-0.182321556794354
T_8633720,acceptable,7730,285,noNog,-0.864997437486479
T_9558682,acceptable,3040,230,noNog,-0.36290549368943104
T_5061892,acceptable,1060,75,noNog,-0.628608659422999
T_1828022,adequate,10650,425,noNog,-0.19415601444060002
T_1675902,adequate,1380,435,noNog,-2.67414864942623
T_7624491,adequate,9300,210,noNog,-0.7419373447303771
T_6720730,adequate,5710,295,noNog,0.507430034763322
T_7013858,adequate,6230,105,noNog,-0.405465108107664
T_7329991,adequate,6640,390,noNog,0.16507975036184
T_1859424,adequate,10040,210,noNog,0.538996500735187
T_4211578,adequate,6830,295,noNog,-0.551176919288999
T_510223,adequate,4530,305,noNog,-1.11514159061937
T_5611642,adequate,1820,345,noNog,-1.46151778235754
T_162563,adequate,2070,345,noNog,-0.976009966575508
T_3304675,adequate,2930,235,noNog,-0.312091037330735
T_3020286,adequate,3700,485,noNog,-0.885831524388521
T_9305725,adequate,4510,90,noNog,-0.810930216217328
T_2326307,adequate,8220,200,noNog,-0.693147180559945
T_964358,adequate,3980,115,noNog,0.390866308690247
T_216082,adequate,760,155,noNog,0.43303843501163697
T_6630299,adequate,6270,60,noNog,0.287682072449281
T_2427075,adequate,6210,165,noNog,-0.16430305129109699
T_1138011,adequate,8300,285,noNog,-1.7404661748418
T_6821639,adequate,5590,395,noNog,-1.2784053991095201
T_3294681,adequate,4390,250,noNog,-0.82098055206983
T_7476082,adequate,5460,15,noNog,-0.405465108107664
T_8742789,adequate,8190,180,noNog,-0.325422400434935
T_8820227,adequate,4120,15,noNog,0.287682072449281
T_4525111,adequate,2860,115,noNog,-0.650587566140732
T_9898677,adequate,9190,440,noNog,-1.6441234704210501
T_3436294,adequate,6170,370,noNog,-0.475423696714466
T_5623478,adequate,10010,100,noNog,-0.35667494393873206
T_8765075,adequate,6850,95,noNog,0.45675840249504795
T_65441,adequate,1870,280,noNog,-0.7672551527130509
T_1014965,adequate,3360,455,noNog,-0.821980052403913
T_1602331,adequate,3420,380,noNog,0.025975486399671004
T_6997885,adequate,8340,240,noNog,-0.405465108107664
T_9818990,adequate,5200,370,noNog,0.48342664957687603
T_1704411,adequate,6920,85,noNog,-0.0606246218166846
T_2510360,adequate,4390,220,noNog,-0.0465200156353689
T_706665,adequate,6100,30,noNog,0.287682072449281
T_8930644,adequate,7840,125,noNog,0.246860077931526
T_1675902,aggressive,4410,430,noNog,0.299242894851133
T_510223,aggressive,3980,420,noNog,-0.271933715483329
T_2427075,aggressive,2510,400,noNog,0.38865798979178295
T_8742789,aggressive,7410,290,noNog,0.701730924251166
T_6821639,aggressive,2020,465,noNog,0.380055392584267
T_706665,aggressive,9810,480,noNog,0.583146285347477
T_1014965,aggressive,10190,170,noNog,0.6007738604263501
T_6997885,aggressive,4250,185,noNog,0.693147180559945
T_1602331,aggressive,3130,60,noNog,0.693147180559945
T_8765075,aggressive,8200,365,noNog,0.60738035880461
T_8930644,aggressive,9490,235,noNog,0.45391749149640903
T_7476082,aggressive,2370,185,noNog,0.41443377808860293
T_1704411,aggressive,8790,145,noNog,0.693147180559945
T_6720730,aggressive,9120,240,noNog,0.459532329376335
T_3294681,aggressive,6010,375,noNog,0.26747936513681303
T_1138011,aggressive,3120,70,noNog,0.6190392084046851
T_1828022,aggressive,6910,170,noNog,-0.19415601444060002
T_2326307,aggressive,6600,355,noNog,-0.18514243313554504
T_5623478,aggressive,8290,460,noNog,0.282232467682905
T_7013858,aggressive,7570,270,noNog,-0.160342650075005
T_65441,aggressive,3630,420,noNog,-0.12675170563957597
T_8820227,aggressive,460,150,noNog,0.510825623767991
T_4525111,aggressive,1520,255,noNog,0.0571584138382821
T_3436294,aggressive,7550,355,noNog,0.437800488752465
T_7624491,aggressive,4280,430,noNog,0.669616683148204
T_7329991,aggressive,3710,380,noNog,0.025975486399671004
T_1859424,aggressive,1400,200,noNog,0.40546510810816494
T_9305725,aggressive,4180,165,noNog,-0.318453731118159
T_4211578,aggressive,3990,385,noNog,0.46021562288236
T_9591156,aggressive,7850,140,noNog,0.916290731874155
T_3304675,aggressive,5550,210,noNog,0.6061358035684971
T_162563,aggressive,4170,170,noNog,0.211309093669588
T_6630299,aggressive,5230,290,noNog,0.837396789406134
T_5611642,aggressive,9700,345,noNog,0.46637386119470203
T_9898677,appropriate,4090,220,noNog,-0.78845736036527
T_6821639,appropriate,10160,180,noNog,-1.50407739677727
T_706665,appropriate,5490,100,noNog,-2.30258509299404
T_2510360,appropriate,10210,385,noNog,0.426879202613591
T_1704411,appropriate,8150,445,noNog,-0.39429180750972204
T_9818990,appropriate,7810,370,noNog,0.0526437334815761
T_8930644,appropriate,9270,105,noNog,-1.6582280766045299
T_1602331,appropriate,6410,260,noNog,0.143100843644007
T_1014965,appropriate,4470,415,noNog,-0.590199211307285
T_8742789,appropriate,10310,180,noNog,-0.587786664901319
T_8765075,appropriate,960,125,noNog,-0.32850406697203605
T_5623478,appropriate,3320,255,noNog,0.0935260580142166
T_216082,appropriate,2730,430,noNog,-0.465363249689529
T_2326307,appropriate,2540,245,noNog,0.0594234204746472
T_1828022,appropriate,9970,470,noNog,-2.7515353130426097
T_6997885,appropriate,1800,75,noNog,-0.405465108107664
T_2427075,appropriate,7770,20,noNog,0.559615787935423
T_7624491,appropriate,7110,190,noNog,-0.747214401830887
T_1675902,appropriate,5990,235,noNog,-3.1570004211492098
T_3436294,appropriate,830,20,noNog,-0.693147180559945
T_4525111,appropriate,6610,315,noNog,-0.271933715483329
T_65441,appropriate,4350,175,noNog,-0.154150679827091
T_7476082,appropriate,7210,120,noNog,-0.287682072451781
T_3294681,appropriate,3870,30,noNog,2.2204460492503099e-16
T_9305725,appropriate,650,125,noNog,-0.9162907318741541
T_3020286,appropriate,7000,210,noNog,-0.7419373447303771
T_9591156,appropriate,5020,115,noNog,-0.0444517625712881
T_162563,appropriate,3170,165,noNog,-0.7239188392276991
T_6630299,appropriate,8490,265,noNog,-0.879249460192942
T_5611642,appropriate,2190,155,noNog,-0.9490805546959791
T_4211578,appropriate,1360,415,noNog,-0.5476395968887899
T_1859424,appropriate,10060,125,noNog,0.113328685307003
T_1138011,appropriate,2180,30,noNog,-1.0986122886691099
T_7013858,appropriate,960,235,noNog,-0.5179430915349621
T_6720730,appropriate,5380,20,noNog,2.2204460492503099e-16
T_2034040,appropriate,5500,25,noNog,-0.51082562376599
T_510223,appropriate,4210,135,noNog,-0.405465108107664
T_7329991,appropriate,9490,365,noNog,0.334513372134017
T_964358,appropriate,7570,485,noNog,-0.7460695820136791
T_6878955,bearish,10380,495,noNog,-1.41706601978764
T_3057786,bearish,7310,315,noNog,-1.2527629684963701
T_9986200,bearish,7350,490,noNog,-2.97552956623579
T_4301390,bearish,7580,215,noNog,0.29578865998355797
T_5296932,bearish,6370,480,noNog,0.656007633608759
T_5800342,bearish,4380,355,noNog,0.5576016885640439
T_3464145,bearish,9300,375,noNog,0.18232155679395498
T_6678082,bearish,6360,165,noNog,-0.0060790460767783105
T_3329879,bearish,2940,495,noNog,0.123379021157737
T_6305655,bearish,7850,295,noNog,-0.6763400622439301
T_9019583,bearish,9980,420,noNog,-1.2527629684963701
T_6853480,bearish,1480,410,noNog,-0.622529613345355
T_7873203,bearish,3800,475,noNog,0.38776553101126393
T_771176,bearish,5080,300,noNog,-1.45528723260827
T_7270876,bearish,9420,65,noNog,-1.1786549963426498
T_7425551,bearish,1820,40,noNog,-0.693147180559945
T_5478886,bearish,860,220,noNog,0.24116205681903102
T_9753595,bearish,7010,290,noNog,-1.1700712526509198
T_4882119,bearish,7780,220,noNog,-5.393627546353309
T_2710047,bearish,10210,315,noNog,-1.2527629684963701
T_8806212,bearish,6530,115,noNog,-2.6654905866834704
T_8181092,bearish,9540,165,noNog,0.4547361571164861
T_4978701,bearish,7130,400,noNog,-0.0779615414697116
T_9777423,bearish,6460,490,noNog,-3.7094987413153304
T_5601353,bearish,7670,295,noNog,-2.2857779746799998
T_4262135,bearish,6110,315,noNog,0.21357410030190502
T_271359,bearish,2250,345,noNog,-1.59504917498021
T_3254798,bearish,6870,195,noNog,0.9456005611283811
T_1562652,big,2660,85,noNog,1.03798766685001
T_5659439,big,410,95,noNog,0.38776553101126393
T_4286557,big,4100,200,noNog,0.40546510810816494
T_7308371,big,10600,480,noNog,0.377294231139182
T_776234,big,9970,385,noNog,0.110541874397033
T_6468097,big,4200,115,noNog,0.265703165735339
T_4394973,big,3190,140,noNog,0.451985123743966
T_5696457,big,1230,270,noNog,2.2204460492503099e-16
T_901679,big,6210,180,noNog,0.47692407208962
T_2905681,big,7810,75,noNog,0.92953595862286
T_914035,big,7130,315,noNog,0.160930366809935
T_7294921,big,7660,440,noNog,0.37469344944453603
T_8960927,big,2410,470,noNog,0.693147180559945
T_6084074,big,3890,30,noNog,0.510825623767991
T_7332968,big,7460,365,noNog,-0.19611487892650697
T_9289161,big,1740,65,noNog,-0.0800427076734529
T_3983240,big,1760,115,noNog,0.693147180559945
T_330915,big,7480,90,noNog,0.6359887667205849
T_8894480,big,3360,495,noNog,0.43531807125490396
T_3757827,big,2600,305,noNog,0.271152770503571
T_6453084,big,4970,335,noNog,-0.015037877364207
T_3985992,big,3540,455,noNog,0.576736828715658
T_94744,big,1660,375,noNog,0.679724160226116
T_6987667,big,1860,495,noNog,-0.11778303565625801
T_2187949,big,4700,295,noNog,0.304489190768287
T_4267653,big,9140,490,noNog,0.438913042173599
T_5429916,big,9350,440,noNog,0.533298479620716
T_287849,big,3810,40,noNog,0.559615787935423
T_5896210,big,9880,70,noNog,0.35667494393773297
T_2032567,big,1420,215,noNog,0.5070977536525371
T_6605231,big,950,165,noNog,0.6778797084306949
T_5826734,big,5630,420,noNog,0.389464766761401
T_2257827,big,3560,460,noNog,-0.13976194237550799
T_8678864,big,8910,140,noNog,0.305381649549077
T_8231233,broad,5220,260,noNog,0.693147180559945
T_3994019,broad,1300,195,noNog,0.02531780798329
T_1891047,broad,6150,440,noNog,0.869770716237739
T_4412363,broad,3300,115,noNog,-0.13976194237550799
T_1105737,broad,5110,205,noNog,0.505935638474299
T_143993,broad,2630,445,noNog,-0.184571276528335
T_7065854,broad,3510,310,noNog,0.457833093625276
T_2557497,broad,790,150,noNog,-0.9162907318741541
T_3042668,broad,6710,70,noNog,0.998528830112706
T_8246321,broad,8550,165,noNog,-0.500775287911839
T_3742702,broad,9970,470,noNog,0.7449722484229151
