turker,adjective,mean,onestdev,had_negative,logrespdev
T_8633720,familiar,6590,485,noNog,-1.4836685251465702
T_8633720,ordinary,6500,265,noNog,-0.97455963999823
T_3254798,stable,3010,430,noNog,-0.9578397347858749
T_8126055,disappointing,7180,190,noNog,-3.63758615972578
T_4267653,relative,880,390,noNog,-2.27726728501075
T_6853480,excessive,850,375,noNog,0.18232155679395498
T_4046855,sound,1680,395,noNog,-1.37371557891313
T_3042668,sound,4180,355,noNog,0.381711022097077
T_5816436,familiar,5350,450,noNog,-1.0986122886691099
T_7329991,substantial,2920,390,noNog,0.5559460590466079
T_611790,strong,4120,450,noNog,0.33647223662121306
T_7072619,likely,5070,115,noNog,0.12260232209348598
T_9777423,unexpected,6180,110,noNog,-0.0657513775623919
T_5896210,sizable,2760,155,noNog,0.203598955238871
T_3464145,bearish,9300,375,noNog,0.18232155679395498
T_7639140,conservative,6470,385,noNog,-2.04122032886064
T_4286557,sizable,5890,35,noNog,-0.154150679827091
T_5611642,small,2460,240,noNog,-2.77258872223978
T_162563,aggressive,4170,170,noNog,0.211309093669588
T_162563,small,4170,45,noNog,-1.0986122886691099
T_551321,acceptable,9410,320,noNog,0.44628710262842
T_216082,usual,8480,490,noNog,-1.40691364832129
T_7308371,extraordinary,7710,215,noNog,0.693147180559945
T_5854614,acceptable,4310,490,noNog,-0.9473813189437119
T_4978701,bearish,7130,400,noNog,-0.0779615414697116
T_964358,great,7390,190,noNog,0.10008345855269699
T_2724315,vital,7960,50,noNog,-0.9162907318741541
T_7742505,fair,3330,50,noNog,-2.52572864430825
T_3950237,vital,3000,310,noNog,-0.215111379617225
T_7332968,relative,5350,225,noNog,-0.405465108107664
T_9289161,striking,1950,190,noNog,0.6109090823241159
T_8930644,major,6910,25,noNog,1.38629436111989
T_2818415,sizable,4030,495,noNog,-0.0820649530544355
T_5854614,routine,9500,95,noNog,-0.641853886171794
T_4267653,sizable,8080,495,noNog,-0.16430305129109699
T_1058423,surprising,3440,225,noNog,0.470003629245736
T_5826734,dramatic,1510,495,noNog,0.33213383502305
T_5826734,important,7070,350,noNog,-1.94591014905631
T_94744,dramatic,9960,410,noNog,0.590493026499592
T_1058423,severe,9300,160,noNog,0.661398482245365
T_9777423,large,7770,345,noNog,-0.9019019944227329
T_6791530,high,8420,205,noNog,0.606579164249625
T_7639140,radical,8200,85,noNog,1.5488132906174197
T_8694327,vital,10170,370,noNog,0.6795415285026601
T_7624491,adequate,9300,210,noNog,-0.7419373447303771
T_6177742,nice,8700,250,noNog,-0.223143551314209
T_2932006,generous,7070,285,noNog,0.411296028415934
T_4211578,thin,3740,125,noNog,-2.52572864430825
T_4211578,steep,10080,80,noNog,0.6868775675463499
T_9778010,radical,5010,160,noNog,0.40546510810816494
T_143993,considerable,4130,435,noNog,0.35437344694916295
T_2326307,clear,5110,320,noNog,-1.79802908224165
T_5854614,significant,4210,110,noNog,0.693147180559945
T_7332968,weak,2510,300,noNog,-2.30258509299404
T_5429916,legitimate,6300,160,noNog,0.318453731118535
T_9924870,ordinary,8760,170,noNog,-2.14006616349227
T_8820227,obvious,8690,205,noNog,0.42956265968484403
T_9192623,light,10100,105,noNog,-1.6582280766045299
T_9636949,solid,6280,490,noNog,0.733152515173056
T_6630299,clear,2020,340,noNog,-0.39086630868744604
T_5429916,competitive,5750,360,noNog,-1.28093384546126
T_9753595,healthy,4760,140,noNog,0.305381649549077
T_8930644,great,8880,430,noNog,0.36593426935411
T_510223,firm,3040,225,noNog,-1.32175583998107
T_6305655,healthy,1790,295,noNog,-0.339867825621875
T_9019583,unexpected,7240,435,noNog,0.41689380393156
T_9915731,generous,8440,405,noNog,0.561377902927062
T_914035,big,7130,315,noNog,0.160930366809935
T_214669,acceptable,4190,265,noNog,-0.792238083204717
T_2087193,outstanding,8360,485,noNog,0.54925300090184
T_3436294,small,6330,205,noNog,-1.41098697371186
T_792249,narrow,9650,275,noNog,-1.7047480922394198
T_4267653,dramatic,2910,385,noNog,0.426879202613591
