Chunk 	 RSQ
0	0.540350863857
1	0.489045642388
2	0.595199473867
3	0.540088802807

overall_gold_y	overall_pred_y	overall_adj
0.377294	[-1.00034666]	stable
0.675129	[ 0.48583305]	major
0.656333	[-0.14787573]	critical
0.451007	[ 0.20481902]	outstanding
-1.30043	[-0.55039448]	comfortable
0.128617	[-0.08391511]	solid
0.693147	[ 0.44394386]	major
-0.510826	[-0.58644354]	typical
0.405465	[ 0.32591617]	big
-0.197168	[ 0.0550729]	broad
-0.370374	[-0.66888982]	positive
0.62253	[ 0.458588]	major
-0.154151	[-0.78922647]	likely
0.767255	[ 0.42838919]	prominent
0.508225	[ 0.14641625]	remarkable
-1.50408	[-0.65484333]	ordinary
0.271934	[ 0.51900899]	intense
-5.66988	[-1.91440964]	weak
-2.67415	[-0.98454344]	adequate
0.182322	[ 0.37543786]	important
0.49208	[ 0.28571057]	serious
-2.89037	[-1.86807156]	inadequate
-0.154151	[-0.29375696]	good
-0.358398	[ 0.20589668]	rich
-0.459532	[ 0.43366635]	competitive
-1.92181	[-1.74652922]	minor
0.693147	[ 0.14316648]	grand
0.593064	[ 0.57275641]	intense
0.902868	[ 0.45266104]	unexpected
-0.417735	[-0.61639178]	sound
0.721721	[-0.18927628]	critical
-0.0800427	[ 0.39199662]	big
0.662376	[-0.05059361]	deep
-1.89712	[-1.59548199]	slight
0.483427	[-0.80189383]	adequate
0.607625	[ 0.45227385]	considerable
-0.510826	[ 0.10613394]	critical
-0.0953102	[-0.02375376]	grand
-0.0170944	[-1.09122193]	stable
-0.516691	[-0.47109622]	moderate
0.476924	[ 0.41055882]	big
0.122602	[ 0.22232354]	generous
0.446287	[-1.03359771]	acceptable
-3.89182	[-2.13148975]	weak
0.573602	[ 0.01460791]	important
-4.57471	[-0.03867567]	unusual
1.13251	[ 0.09467316]	excessive
-0.0259755	[ 0.03717256]	sizable
-1.16385	[-0.99126071]	modest
-1.36098	[-0.15781188]	good
-0.387766	[-0.64698535]	familiar
0.693147	[-0.03780532]	vital
0.446287	[ 0.19891548]	deep
0.267479	[ 0.26115626]	aggressive
-1.70475	[-1.35449553]	tight
0.217723	[-0.16459179]	reasonable
-0.864997	[-1.31350851]	low
-0.386773	[ 0.31358224]	unexpected
0.177334	[-0.71787375]	usual
-4.09434	[-1.7582742]	inadequate
0.655407	[ 0.03325033]	serious
0.433038	[-0.71739382]	adequate
0.630627	[ 0.49942005]	considerable
