turker,adjective,response,mean,onestdev,respdev,had_negative
T_330915,relative,3200.0,3150.0,80.0,0.625,noNog
T_330915,little,5400.0,5340.0,490.0,0.122448979592,noNog
T_330915,big,7650.0,7480.0,90.0,1.88888888889,noNog
T_330915,favorable,10200.0,9780.0,315.0,1.33333333333,noNog
T_330915,legitimate,5875.0,5770.0,105.0,1.0,noNog
T_330915,sizable,4400.0,4120.0,5.0,56.0,noNog
T_330915,tiny,6915.0,6910.0,385.0,0.012987012987,noNog
T_330915,extraordinary,9000.0,8360.0,370.0,1.72972972973,noNog
T_330915,weak,6900.0,6890.0,55.0,0.181818181818,noNog
T_330915,striking,560.0,500.0,25.0,2.4,noNog
T_330915,rich,2000.0,1730.0,235.0,1.14893617021,noNog
T_330915,dramatic,1600.0,1400.0,100.0,2.0,noNog
T_330915,fine,6000.0,5960.0,355.0,0.112676056338,noNog
T_330915,modest,5520.0,5470.0,50.0,1.0,noNog
T_330915,important,3450.0,3210.0,480.0,0.5,noNog
T_330915,unlikely,1500.0,1310.0,35.0,5.42857142857,noNog
T_330915,prominent,2300.0,2210.0,15.0,6.0,noNog
T_330915,competitive,8850.0,8730.0,75.0,1.6,noNog
T_330915,good,8400.0,8180.0,330.0,0.666666666667,noNog
T_330915,critical,5750.0,5630.0,200.0,0.6,noNog
T_9408028,relative,8060.0,8060.0,340.0,0.0,noNog
T_9408028,little,7440.0,7440.0,85.0,0.0,noNog
T_9408028,big,740.0,650.0,45.0,2.0,noNog
T_9408028,favorable,1970.0,1780.0,95.0,2.0,noNog
T_9408028,legitimate,8820.0,8820.0,120.0,0.0,noNog
T_9408028,sizable,2450.0,1460.0,495.0,2.0,noNog
T_9408028,tiny,1500.0,1910.0,205.0,2.0,hadNeg
T_9408028,extraordinary,5300.0,5220.0,40.0,2.0,hadNeg
T_9408028,weak,9880.0,9880.0,125.0,0.0,hadNeg
T_9408028,striking,970.0,710.0,130.0,2.0,hadNeg
T_9408028,rich,6210.0,6210.0,340.0,0.0,hadNeg
T_9408028,dramatic,4540.0,3900.0,320.0,2.0,hadNeg
T_9408028,fine,11130.0,10490.0,320.0,2.0,hadNeg
T_9408028,modest,2980.0,2990.0,5.0,2.0,hadNeg
T_9408028,important,2710.0,2610.0,50.0,2.0,hadNeg
T_9408028,unlikely,3350.0,4080.0,365.0,2.0,hadNeg
T_9408028,prominent,10550.0,9570.0,490.0,2.0,hadNeg
T_9408028,competitive,9160.0,8790.0,185.0,2.0,hadNeg
T_9408028,good,6210.0,5340.0,435.0,2.0,hadNeg
T_9408028,critical,2010.0,1250.0,380.0,2.0,hadNeg
T_290956,relative,6900.0,6710.0,310.0,0.612903225806,noNog
T_290956,little,4600.0,4710.0,85.0,1.29411764706,hadNeg
T_290956,big,5050.0,4110.0,495.0,1.89898989899,hadNeg
T_290956,favorable,9560.0,9490.0,175.0,0.4,hadNeg
T_290956,legitimate,4450.0,4290.0,355.0,0.450704225352,hadNeg
T_290956,sizable,1050.0,980.0,45.0,1.55555555556,hadNeg
T_290956,tiny,8250.0,8200.0,185.0,0.27027027027,hadNeg
T_290956,extraordinary,7600.0,6820.0,425.0,1.83529411765,hadNeg
T_290956,weak,700.0,1030.0,215.0,1.53488372093,hadNeg
T_290956,striking,3678.0,3160.0,160.0,3.2375,hadNeg
T_290956,rich,7450.0,6950.0,400.0,1.25,hadNeg
T_290956,dramatic,10000.0,9610.0,60.0,6.5,hadNeg
T_290956,fine,4955.0,4950.0,35.0,0.142857142857,hadNeg
T_290956,modest,6987.0,6730.0,215.0,1.19534883721,hadNeg
T_290956,important,2100.0,2030.0,65.0,1.07692307692,hadNeg
T_290956,unlikely,6800.0,6640.0,55.0,2.90909090909,hadNeg
T_290956,prominent,9970.0,9860.0,335.0,0.328358208955,hadNeg
T_290956,competitive,1280.0,1190.0,100.0,0.9,hadNeg
T_290956,good,2875.0,2830.0,50.0,0.9,hadNeg
T_290956,critical,7300.0,7220.0,95.0,0.842105263158,hadNeg
T_39282,relative,5215.0,2180.0,275.0,11.0363636364,noNog
T_39282,little,251.0,770.0,20.0,25.95,hadNeg
T_39282,big,55.0,8690.0,135.0,63.962962963,hadNeg
T_39282,favorable,5125.0,1410.0,85.0,43.7058823529,hadNeg
T_39282,legitimate,25.0,7890.0,330.0,23.8333333333,hadNeg
T_39282,sizable,12414.0,750.0,215.0,54.2511627907,hadNeg
T_39282,tiny,442.0,1560.0,315.0,3.54920634921,hadNeg
T_39282,extraordinary,55.0,7720.0,45.0,170.333333333,hadNeg
T_39282,weak,5125.0,4220.0,370.0,2.44594594595,hadNeg
T_39282,striking,421.0,5110.0,160.0,29.30625,hadNeg
T_39282,rich,251256.0,8200.0,155.0,1568.10322581,hadNeg
T_39282,dramatic,6.0,2240.0,165.0,13.5393939394,hadNeg
T_39282,fine,5125.0,10230.0,405.0,12.6049382716,hadNeg
T_39282,modest,124124.0,1030.0,215.0,572.530232558,hadNeg
T_39282,important,255.0,1780.0,95.0,16.0526315789,hadNeg
T_39282,unlikely,215125.0,4360.0,15.0,14051.0,hadNeg
T_39282,prominent,424.0,9450.0,375.0,24.0693333333,hadNeg
T_39282,competitive,12515.0,6950.0,255.0,21.8235294118,hadNeg
T_39282,good,241.0,8790.0,475.0,17.9978947368,hadNeg
T_39282,critical,124.0,960.0,105.0,7.9619047619,hadNeg
T_6468097,relative,8800.0,8710.0,80.0,1.125,noNog
T_6468097,little,1900.0,1870.0,55.0,0.545454545455,noNog
T_6468097,big,4350.0,4200.0,115.0,1.30434782609,noNog
T_6468097,favorable,4200.0,3780.0,240.0,1.75,noNog
T_6468097,legitimate,5900.0,5510.0,455.0,0.857142857143,noNog
T_6468097,sizable,6000.0,5810.0,105.0,1.80952380952,noNog
T_6468097,tiny,7300.0,7240.0,340.0,0.176470588235,noNog
T_6468097,extraordinary,8950.0,8840.0,55.0,2.0,noNog
T_6468097,weak,4600.0,4270.0,230.0,1.4347826087,noNog
T_6468097,striking,4050.0,3500.0,280.0,1.96428571429,noNog
T_6468097,rich,7800.0,7170.0,355.0,1.77464788732,noNog
T_6468097,dramatic,2200.0,1890.0,200.0,1.55,noNog
T_6468097,fine,3400.0,3010.0,260.0,1.5,noNog
T_6468097,modest,6600.0,6490.0,400.0,0.275,noNog
T_6468097,important,10500.0,9880.0,360.0,1.72222222222,noNog
T_6468097,unlikely,8930.0,8600.0,165.0,2.0,noNog
T_6468097,prominent,9200.0,8910.0,150.0,1.93333333333,noNog
T_6468097,competitive,7500.0,6990.0,410.0,1.24390243902,noNog
T_6468097,good,6500.0,5920.0,460.0,1.26086956522,noNog
T_6468097,critical,6190.0,6180.0,5.0,2.0,noNog
T_3983240,relative,3523.0,3390.0,480.0,0.277083333333,noNog
T_3983240,little,2770.0,2740.0,60.0,0.5,noNog
T_3983240,big,1990.0,1760.0,115.0,2.0,noNog
T_3983240,favorable,4600.0,4190.0,475.0,0.863157894737,noNog
T_3983240,legitimate,800.0,7570.0,290.0,23.3448275862,hadNeg
T_3983240,sizable,5300.0,4960.0,75.0,4.53333333333,hadNeg
T_3983240,tiny,6900.0,6890.0,490.0,0.0204081632653,hadNeg
T_3983240,extraordinary,9200.0,6680.0,120.0,21.0,hadNeg
T_3983240,weak,1829.0,1820.0,475.0,0.0189473684211,hadNeg
T_3983240,striking,15000.0,10710.0,370.0,11.5945945946,hadNeg
T_3983240,rich,5000.0,4390.0,65.0,9.38461538462,hadNeg
T_3983240,dramatic,2200.0,1420.0,475.0,1.64210526316,hadNeg
T_3983240,fine,8975.0,8920.0,30.0,1.83333333333,hadNeg
T_3983240,modest,1000.0,940.0,335.0,0.179104477612,hadNeg
T_3983240,important,6600.0,5970.0,405.0,1.55555555556,hadNeg
T_3983240,unlikely,9480.0,9450.0,145.0,0.206896551724,hadNeg
T_3983240,prominent,5350.0,4900.0,95.0,4.73684210526,hadNeg
T_3983240,competitive,3030.0,3020.0,480.0,0.0208333333333,hadNeg
T_3983240,good,9000.0,8580.0,330.0,1.27272727273,hadNeg
T_3983240,critical,1550.0,1080.0,275.0,1.70909090909,hadNeg
T_6605231,relative,10240.0,10140.0,400.0,0.25,noNog
T_6605231,little,525.0,510.0,30.0,0.5,noNog
T_6605231,big,1275.0,950.0,165.0,1.9696969697,noNog
T_6605231,favorable,2675.0,2400.0,145.0,1.89655172414,noNog
T_6605231,legitimate,3670.0,3390.0,250.0,1.12,noNog
T_6605231,sizable,6104.0,5600.0,420.0,1.2,noNog
T_6605231,tiny,1630.0,1620.0,485.0,0.020618556701,noNog
T_6605231,extraordinary,5820.0,4590.0,485.0,2.53608247423,noNog
T_6605231,weak,5568.0,5430.0,295.0,0.467796610169,noNog
T_6605231,striking,2850.0,2590.0,165.0,1.57575757576,noNog
T_6605231,rich,8790.0,8180.0,315.0,1.93650793651,noNog
T_6605231,dramatic,5500.0,4560.0,480.0,1.95833333333,noNog
T_6605231,fine,6340.0,6150.0,235.0,0.808510638298,noNog
T_6605231,modest,6893.0,6840.0,305.0,0.173770491803,noNog
T_6605231,important,3610.0,3400.0,255.0,0.823529411765,noNog
T_6605231,unlikely,9027.0,9010.0,310.0,0.0548387096774,noNog
T_6605231,prominent,9900.0,9510.0,220.0,1.77272727273,noNog
T_6605231,competitive,2375.0,2020.0,180.0,1.97222222222,noNog
