adjective	mu_coefficient	intercept
big	-0.0001978	-1.60362
clear	-0.0001978	-2.2779839
conservative	-0.0001978	-3.6416769
critical	-0.0001978	-1.7315927
deep	-0.0001978	-1.5720918
fine	-0.0001978	-2.715261
firm	-0.0001978	-2.1924746
good	-0.0001978	-2.1774736
grand	-0.0001978	-1.4621403
great	-0.0001978	-1.3570309
high	-0.0001978	-1.5521909
huge	-0.0001978	-1.2023856
important	-0.0001978	-2.3103782
large	-0.0001978	-1.709744
light	-0.0001978	-3.7589106
likely	-0.0001978	-2.8569645
little	-0.0001978	-3.9498975
low	-0.0001978	-3.9860684
major	-0.0001978	-1.5056186
poor	-0.0001978	-4.9423796
positive	-0.0001978	-2.632472
powerful	-0.0001978	-1.4675971
regular	-0.0001978	-3.0238113
serious	-0.0001978	-1.597228
significant	-0.0001978	-1.6256111
small	-0.0001978	-3.7723786
sound	-0.0001978	-2.1253393
strong	-0.0001978	-1.7544016
traditional	-0.0001978	-2.6217913
