adjective	mu_coefficient	sigma_coefficient	intercept
big	8.655e-06	-0.001194	0.6433
clear	8.655e-06	-0.001194	0.1761
conservative	8.655e-06	-0.001194	-1.1587
critical	8.655e-06	-0.001194	0.59309
deep	8.655e-06	-0.001194	0.69166
fine	8.655e-06	-0.001194	-0.3647
firm	8.655e-06	-0.001194	0.1839
good	8.655e-06	-0.001194	0.1106
grand	8.655e-06	-0.001194	0.7683
great	8.655e-06	-0.001194	0.72588
high	8.655e-06	-0.001194	0.65709
huge	8.655e-06	-0.001194	0.9949
important	8.655e-06	-0.001194	0.077
large	8.655e-06	-0.001194	0.58938
light	8.655e-06	-0.001194	-1.3187
likely	8.655e-06	-0.001194	-0.6107
little	8.655e-06	-0.001194	-1.5477
low	8.655e-06	-0.001194	-1.8067
major	8.655e-06	-0.001194	0.867
poor	8.655e-06	-0.001194	-2.5207
positive	8.655e-06	-0.001194	-0.3104
powerful	8.655e-06	-0.001194	0.70212
regular	8.655e-06	-0.001194	-0.5737
serious	8.655e-06	-0.001194	0.72847
significant	8.655e-06	-0.001194	0.62997
small	8.655e-06	-0.001194	-1.6947
sound	8.655e-06	-0.001194	0.0589
strong	8.655e-06	-0.001194	0.5807
traditional	8.655e-06	-0.001194	-0.3151
wide	8.655e-06	-0.001194	0.5024
