uuid	file	paragraph	sentence	tokenized_sentence	marked_sentence	approx_span	trigger	marked_trigger	submitted_annotations_count	accepted_count	annotations	belief_ann_count	majority	quality_controlled	title	source	year
cffebde8-fc0b-11ed-88fc-93f4be02dfa8	neigbor27.txt	The authors appreciate the immense contribution and input from Syed Zulfiqar Ali, Akaco Ekirapa, Kevin Grieco, Shah Monir Hossain, Rumana Huque, Niccolo Meriggi, and Yasmina Yusuf, who provided detailed country-based reports that have fed into this synthesis report. We also recognise their work, and that of many others, in reviewing and strengthening drafts.	The authors appreciate the immense contribution and input from Syed Zulfiqar Ali, Akaco Ekirapa, Kevin Grieco, Shah Monir Hossain, Rumana Huque, Niccolo Meriggi, and Yasmina Yusuf, who provided detailed country-based reports that have fed into this synthesis report.	The authors appreciate the immense contribution and input from Syed Zulfiqar Ali , Akaco Ekirapa , Kevin Grieco , Shah Monir Hossain , Rumana Huque , Niccolo Meriggi , and Yasmina Yusuf , who provided detailed country-based reports that have fed into this synthesis report .	The authors <mark>appreciate</mark> the immense contribution and input from Syed Zulfiqar Ali, Akaco Ekirapa, Kevin Grieco, Shah Monir Hossain, Rumana Huque, Niccolo Meriggi, and Yasmina Yusuf, who provided detailed country-based reports that have fed into this synthesis report.	authors appreciate	appreciate	<mark>appreciate</mark>	3	3	Belief/attitude<::>Not belief/attitude<::>Belief/attitude	2	Belief/attitude	b	Initial COVID-19 responses in Bangladesh, Kenya, Pakistan, Sierra Leone and Uganda: Documentation and learning from March to May 2020 COVID-19 Series: Synthesis Report	Debbie Hillier, Tom Newton-Lewis, Rithika Nair, Christoph Larsen	2020
cffebde9-fc0b-11ed-88fc-93f4be02dfa8	neigbor65.txt	To determine the child performance their family plays a key role. Students in rural areas have low performance compared to students in urban areas because it is relate to their parents education.Some experts believe that parents expectations is the most influencial factor affecting youth decisions to pursue education. (Esterman and Hedland,1995; Smith,Beaulieu and Seraphine,1995).	Students in rural areas have low performance compared to students in urban areas because it is relate to their parents education.Some experts believe that parents expectations is the most influencial factor affecting youth decisions to pursue education.	Students in rural areas have low performance compared to students in urban areas because it is relate to their parents education.Some experts believe that parents expectations is the most influencial factor affecting youth decisions to pursue education .	Students in rural areas have low performance compared to students in urban areas because it is relate to their parents education.Some experts <mark>believe</mark> that parents expectations is the most influencial factor affecting youth decisions to pursue education.	parents education.Some experts believe that parents expectations is the most influencial factor affecting youth	believe	<mark>believe</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	English Language Teaching in Rural Areas: A Scenario and Problems and Prospects in Context of Bangladesh	Md.Mahroof Hossain	2016
cffebdea-fc0b-11ed-88fc-93f4be02dfa8	neigbor59.txt	Year Student applications received % difference in student applications year-on- year Applications accepted Applications rejected % of Applications accepted 2003 4,991 - 2,374 2,617 47.6% 2004 5,589 12.3% 1,926 3,663 34.5% 2005 7,623 36.4% 2,857 4,766 37.5% Source: Refugee and Migratory Movements Research Unit (RMMRU) report provided by visa section of the British High Commission of Bangladesh in 2009 Growth in private education, greater emphasis on English The number of private schools in Bangladesh is growing at a faster rate than the number of public schools. Growth is driven by demand for quality education among the emerging middle-income segment. Privately-funded primary and secondary schools are generally perceived by parents as worthwhile investments for their children, and those who can afford to do so will typically send their children into private education. Most private schools are based in cities. However, there are also a number of good public schools that provide higher-than-average standards of education, and place greater emphasis on English language education. These are popular among low-and middle-income families. These schools are also mainly located in urban areas, where there are more qualified teachers and greater resources. Both public and private schools are making every effort to improve the quality of their English tuition. Private schools believe that using English as a medium for teaching will help them to stand out from other schools. A comparison of interviews with public and private institutions reveals that private education places greater emphasis on English language education and commits more resources to it than public education. Education with English as a teaching medium in public high schools is of lower quality, as teachers in these schools generally speak less fluent English than their counterparts in private schools.	Private schools believe that using English as a medium for teaching will help them to stand out from other schools.	Private schools believe that using English as a medium for teaching will help them to stand out from other schools .	Private schools <mark>believe</mark> that using English as a medium for teaching will help them to stand out from other schools.	Private schools believe that using English as a medium for teaching will help	believe	<mark>believe</mark>	3	3	Not belief/attitude<::>Not belief/attitude<::>Belief/attitude	1	Not belief/attitude	b	The Benefits of the English Language for Individuals and Societies: Quantitative Indicators from Cameroon, Nigeria, Rwanda, Bangladesh and Pakistan	Robert Pinon, Jon Haydon	2011
cffebdeb-fc0b-11ed-88fc-93f4be02dfa8	neigbor183.txt	The SUAP includes specific recommendations for F2F volunteers to help raise awareness of the human health and environmental consequences of pesticide use with the aim of encouraging farmers and applicators to consider human health and the environment when making pesticide choices. These recommendations will help ensure that F2F volunteers' recommendations and advice on pesticide use have positive effects on human health and the environment.	The SUAP includes specific recommendations for F2F volunteers to help raise awareness of the human health and environmental consequences of pesticide use with the aim of encouraging farmers and applicators to consider human health and the environment when making pesticide choices.	The SUAP includes specific recommendations for F2F volunteers to help raise awareness of the human health and environmental consequences of pesticide use with the aim of encouraging farmers and applicators to consider human health and the environment when making pesticide choices .	The SUAP includes specific recommendations for F2F volunteers to help raise awareness of the human health and environmental consequences of pesticide use with the aim of encouraging farmers and applicators to <mark>consider</mark> human health and the environment when making pesticide choices.	farmers and applicators to consider	consider	<mark>consider</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Not belief/attitude	2	Belief/attitude	n	FARMER-TO-FARMER PROGRAMMATIC PERSUAP: PESTICIDE EVALUATION REPORT AND SAFER USE ACTION PLAN	The United States Agency for International Development	2013
cffebdec-fc0b-11ed-88fc-93f4be02dfa8	neigbor158.txt	"The final adjustment process, generally called calibration (Sarndal and Deville, 1992), is undertaken to ensure consistency of the estimate with known aggregates. This procedure ensures appropriate representation of the different regions in the final global estimate. In the present context, a single variable ""number of employees"", n, in a given year t was considered for calibration. In this simple case, the calibration factors, , are given by (5) 6. An alternative specification with GDP per capita and population size produced very similar results. 7. Data for the number of persons employed and the number of employees are from KILM (ILO, 2017), and data on GDP in 2011 US$PPP from the World Bank's World Development Indicators. 106 Global Wage Report 2018/19 where h represents the region to which country j belongs, is the known number of employees in that region in year t, and is an estimate of total number of employees in the region and the same year, obtained as a sum product of the uncalibrated weights and the employment data from the responding countries within each region.8 The resulting calibration factors for the year 2017 were 1.00 (Europe and Central Asia), 0.99(Asia and the Pacific), 1.01 (Americas), 0.97 (Africa) and 1.10(Arab states). Since all calibration factors are either equal to or very close to 1, these results show that estimates were already very close to the known number of employees, , in each region. Note that the calibration process was repeated for each year so that the weight of each region in the global estimate changes over time in proportion to its approximate share in the global wage bill."	"In the present context, a single variable ""number of employees"", n, in a given year t was considered for calibration. "	"In the present context , a single variable "" number of employees "" , n , in a given year t was considered for calibration ."	"In the present context, a single variable ""number of employees"", n, in a given year t was <mark>considered</mark> for calibration. "	year t was considered for calibration.	considered	<mark>considered</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	n	Global Wage Report 2018/19 – What lies behind gender pay gaps	International Labour Organization	2018
cffebded-fc0b-11ed-88fc-93f4be02dfa8	neigbor164.txt	"Women are more likely than men to be contributing family workers People working as own-account workers and contributing family workers tend to lack basic social protection and are subject to low income and difficult working conditions. Because of their precarious employment conditions, they are considered to be in ""vulnerable"" types of employment. Globally in 2015, the share of vulnerable employment was 49 per cent for women and 47 per cent for men, hence a very small gender difference. However, among all forms of vulner- The World's Women 2015102 Figure 4.10 Distribution of employment by status in employment, by sex and region, 2015 Source: ILO, Estimates and Projections of the Economically Active Population (EAPEP), 2013 edition (April 2014 update). Note: Other developed regions include countries in Northern and Western Europe, as well as Australia, Canada, Japan, New Zealand, and the United States. 2015 figures are projections."	"Because of their precarious employment conditions, they are considered to be in ""vulnerable"" types of employment. "	"Because of their precarious employment conditions , they are considered to be in "" vulnerable "" types of employment ."	"Because of their precarious employment conditions, they are <mark>considered</mark> to be in ""vulnerable"" types of employment. "	", they are considered to be in ""vulnerable"" types of employment."	considered	<mark>considered</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Not belief/attitude	2	Belief/attitude	n	The World’s Women 2015: Trends and Statistics	United Nations	2015
cffebdee-fc0b-11ed-88fc-93f4be02dfa8	neigbor75.txt	In its 2012 General Survey on the Fundamental Conventions, the CEACR has also considered that maternity requires differential treatment if genuine equality is to be achieved. It has also highlighted the fact that the major shift that has occurred over time has developed from being a purely protective approach to the employment of women to one based on promoting genuine equality between men and women and eliminating discriminatory law and practice. The CEACR has considered that a distinction has to be made between measures protecting maternity in the strict sense and those protective measures applicable to women's employment which are based on stereotypes regarding women's professional abilities and role in society, and which violate the principle of equality of opportunity and treatment in employment and occupation (ILO, 2012d).	In its 2012 General Survey on the Fundamental Conventions, the CEACR has also considered that maternity requires differential treatment if genuine equality is to be achieved.	In its 2012 General Survey on the Fundamental Conventions , the CEACR has also considered that maternity requires differential treatment if genuine equality is to be achieved .	In its 2012 General Survey on the Fundamental Conventions, the CEACR has also <mark>considered</mark> that maternity requires differential treatment if genuine equality is to be achieved.	CEACR has also considered	considered	<mark>considered</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Not belief/attitude	2	Belief/attitude	b	Maternity and paternity at work – Law and practice across the world	International Labour Organization	2014
cffebdef-fc0b-11ed-88fc-93f4be02dfa8	neigbor59.txt	Cameroon's government receives funding for education The government is receiving some international help to improve its education system. An example of this is the Economic and Monetary Community of Central Africa (CEMAC). In 2011, this foundation will introduce a total budget of US$15 million for the six African countries in the region, according to the Strategy Paper for CEMAC 2010-2014. The aim is to improve the education system, and allow access to the English language as an overall policy of improving the opportunities for the youth in Cameroon. Private education growing, gives greater importance to English Private education is increasingly popular and considered to be of higher quality than public education by most Cameroonian parents. Private schools tend to pay more attention to teaching English than public establishments. Private education has its strongest presence in the cities of Yaounde and Douala and the north-west, west and south-west regions of the country.	Private education growing, gives greater importance to English Private education is increasingly popular and considered to be of higher quality than public education by most Cameroonian parents.	Private education growing , gives greater importance to English Private education is increasingly popular and considered to be of higher quality than public education by most Cameroonian parents .	Private education growing, gives greater importance to English Private education is increasingly popular and <mark>considered</mark> to be of higher quality than public education by most Cameroonian parents.	increasingly popular and considered to be of higher quality than public education by most	considered	<mark>considered</mark>	3	3	Not belief/attitude<::>Belief/attitude<::>Belief/attitude	2	Belief/attitude	b	The Benefits of the English Language for Individuals and Societies: Quantitative Indicators from Cameroon, Nigeria, Rwanda, Bangladesh and Pakistan	Robert Pinon, Jon Haydon	2011
cffebdf0-fc0b-11ed-88fc-93f4be02dfa8	neigbor22.txt	Membership of target community. The GDG considered that membership of and acceptance by the target community (whether defined in geographical terms or in relation to population group, such as nomadic communities, people living with HIV, caste, religion or cultural beliefs) may represent an important criterion in the selection process.	The GDG considered that membership of and acceptance by the target community (whether defined in geographical terms or in relation to population group, such as nomadic communities, people living with HIV, caste, religion or cultural beliefs) may represent an important criterion in the selection process.	The GDG considered that membership of and acceptance by the target community ( whether defined in geographical terms or in relation to population group , such as nomadic communities , people living with HIV , caste , religion or cultural beliefs ) may represent an important criterion in the selection process .	The GDG <mark>considered</mark> that membership of and acceptance by the target community (whether defined in geographical terms or in relation to population group, such as nomadic communities, people living with HIV, caste, religion or cultural beliefs) may represent an important criterion in the selection process.	GDG considered	considered	<mark>considered</mark>	3	3	Not belief/attitude<::>Belief/attitude<::>Belief/attitude	2	Belief/attitude	b	WHO guideline on health policy and system support to optimize community health worker programmes	World Health Organization	2018
cffebdf1-fc0b-11ed-88fc-93f4be02dfa8	neigbor88.txt	The final policy instrument, considered to be among the 10 most important FLR policies in El Salvador, is the Sustainable El Salvador Plan, the outcome of a twoyear national consultation process undertaken by the National Council for Environmental Sustainability and Vulnerability (CONASAV). The plan creates a platform that brings together actors from the private sector, public institutions, the academic sector and civil society. In relation to FLR, this plan set two targets: restoring 10,000 ha of mangrove forest by 2019 and 250,000 ha of degraded land by 2020.	The final policy instrument, considered to be among the 10 most important FLR policies in El Salvador, is the Sustainable El Salvador Plan, the outcome of a twoyear national consultation process undertaken by the National Council for Environmental Sustainability and Vulnerability (CONASAV).	The final policy instrument , considered to be among the 10 most important FLR policies in El Salvador , is the Sustainable El Salvador Plan , the outcome of a twoyear national consultation process undertaken by the National Council for Environmental Sustainability and Vulnerability ( CONASAV ) .	The final policy instrument, <mark>considered</mark> to be among the 10 most important FLR policies in El Salvador, is the Sustainable El Salvador Plan, the outcome of a twoyear national consultation process undertaken by the National Council for Environmental Sustainability and Vulnerability (CONASAV).	policy instrument, considered to be among the 10 most important FLR policies in	considered	<mark>considered</mark>	3	3	Not belief/attitude<::>Belief/attitude<::>Belief/attitude	2	Belief/attitude	b	Second Bonn Challenge progress report: application of the Barometer in 2018.	Radhika Dave, Carole Saint-Laurent, Lara Murray, Gabriel Antunes Daldegan, Rens Brouwer, Leander Raes, Silvio Simonit, Marisete Catapan, Gerardo García Contreras, Alain Ndoli, Charles Karangwa, Naalin Perera, Swati Hingorani, Tim Pearson	2019
