uuid	file	paragraph	sentence	tokenized_sentence	marked_sentence	approx_span	trigger	marked_trigger	submitted_annotations_count	accepted_count	annotations	belief_ann_count	majority	quality_controlled	title	source	year
cffebf03-fc0b-11ed-88fc-93f4be02dfa8	neigbor243.txt	The Management Entity has facilitated host country graduate student educational programs through execution of a Memorandum of Agreement with host country organizations and by encouraging Principal Investigators to recruit host country students. Difficulties in using TraiNet has discouraged some Principal Investigators from utilizing Peanut CRSP funds for graduate research assistantships and has resulted in some host country graduate students being supported from state or other grant funds. Host country graduate students believe that they are receiving a quality education at U.S. universities and they appreciate the guidance and support from their mentors. The results of a survey of graduate students working on Peanut CRSP projects are given in Attachment 3.	Host country graduate students believe that they are receiving a quality education at U.S. universities and they appreciate the guidance and support from their mentors.	Host country graduate students believe that they are receiving a quality education at U.S. universities and they appreciate the guidance and support from their mentors .	Host country graduate students believe that they are receiving a quality education at U.S. universities and they <mark>appreciate</mark> the guidance and support from their mentors.	they appreciate	appreciate	<mark>appreciate</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	The Peanut Collaborative Research Support Program (PCRSP)	Dely Gapasin, John Cherry, John Gilbert, Ron Gibbons, Geoff Hildebrand, Darrell Nelson, Howard Valentine, Handy Williamson	2005
cffebf04-fc0b-11ed-88fc-93f4be02dfa8	neigbor243.txt	The Management Entity has facilitated host country graduate student educational programs through execution of a Memorandum of Agreement with host country organizations and by encouraging Principal Investigators to recruit host country students. Difficulties in using TraiNet has discouraged some Principal Investigators from utilizing Peanut CRSP funds for graduate research assistantships and has resulted in some host country graduate students being supported from state or other grant funds. Host country graduate students believe that they are receiving a quality education at U.S. universities and they appreciate the guidance and support from their mentors. The results of a survey of graduate students working on Peanut CRSP projects are given in Attachment 3.	Host country graduate students believe that they are receiving a quality education at U.S. universities and they appreciate the guidance and support from their mentors.	Host country graduate students believe that they are receiving a quality education at U.S. universities and they appreciate the guidance and support from their mentors .	Host country graduate students believe that they are receiving a quality education at U.S. universities and they <mark>appreciate</mark> the guidance and support from their mentors.	they are receiving a quality education at U.S. universities and they appreciate	appreciate	<mark>appreciate</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	The Peanut Collaborative Research Support Program (PCRSP)	Dely Gapasin, John Cherry, John Gilbert, Ron Gibbons, Geoff Hildebrand, Darrell Nelson, Howard Valentine, Handy Williamson	2005
cffebf05-fc0b-11ed-88fc-93f4be02dfa8	neigbor243.txt	Senegal: Very little progress resulted from the work in Senegal in 2002-2003 due to inability to identify suitable partners; hence, in June 2003 the project was transferred to Uganda. The full report on the Senegal survey related to aflatoxin and the health of peanut farmers in the Peanut Basin conducted by ENEA is available on the Peanut CRSP website. Uganda: Farm level and market surveys in Uganda showed low levels of aflatoxin contamination immediately after harvest and drying. However, processed nuts on sale in urban market centers contain aflatoxin levels of 2-3 times higher than the WHO allowable limits and 10 times higher than EU standards, an indication that aflatoxin contamination occurs during post-harvest handling and processing stages. Results should that aflatoxin issues were unknown to vast majority of Ugandan population surveyed, from university professors to illiterate farm families. Only health professionals and agronomists knew about aflatoxin contamination and their health effects. The Ministry of Health and the Bureau of Standards appreciated the results of the market survey that showed high level of aflatoxin contamination of peanut products sold in the local markets.	The Ministry of Health and the Bureau of Standards appreciated the results of the market survey that showed high level of aflatoxin contamination of peanut products sold in the local markets.	The Ministry of Health and the Bureau of Standards appreciated the results of the market survey that showed high level of aflatoxin contamination of peanut products sold in the local markets .	The Ministry of Health and the Bureau of Standards <mark>appreciated</mark> the results of the market survey that showed high level of aflatoxin contamination of peanut products sold in the local markets.	Ministry of Health and the Bureau of Standards appreciated	appreciated	<mark>appreciated</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	The Peanut Collaborative Research Support Program (PCRSP)	Dely Gapasin, John Cherry, John Gilbert, Ron Gibbons, Geoff Hildebrand, Darrell Nelson, Howard Valentine, Handy Williamson	2005
cffebf06-fc0b-11ed-88fc-93f4be02dfa8	neigbor190.txt	Q24. Is there a requirement to obtain authority to proceed with a current/ongoing transaction that is identified as suspicious? A24. Yes. Under the Terrorism (Suppression of Financing) Act (Chapter 325), every person who provides financial services, knowing or having reasonable grounds to believe that they will be used, for the purpose of facilitating or carrying out any terrorist act, or for benefiting any person who is facilitating or carrying out such activity, shall be guilty of an offence. FIs may apply to the Minister for an exemption, subject to various conditions being met.	Under the Terrorism (Suppression of Financing) Act (Chapter 325), every person who provides financial services, knowing or having reasonable grounds to believe that they will be used, for the purpose of facilitating or carrying out any terrorist act, or for benefiting any person who is facilitating or carrying out such activity, shall be guilty of an offence.	Under the Terrorism ( Suppression of Financing ) Act ( Chapter 325 ) , every person who provides financial services , knowing or having reasonable grounds to believe that they will be used , for the purpose of facilitating or carrying out any terrorist act , or for benefiting any person who is facilitating or carrying out such activity , shall be guilty of an offence .	Under the Terrorism (Suppression of Financing) Act (Chapter 325), every person who provides financial services, knowing or having reasonable grounds to <mark>believe</mark> that they will be used, for the purpose of facilitating or carrying out any terrorist act, or for benefiting any person who is facilitating or carrying out such activity, shall be guilty of an offence.	reasonable grounds to believe that they will be used, for the purpose of	believe	<mark>believe</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	n	Know Your Customer: Quick Reference Guide	PWC	2016
cffebf07-fc0b-11ed-88fc-93f4be02dfa8	neigbor190.txt	A18. There is an obligation on every bank, financial institution, cash dealer or member of a relevant profession or occupation to make a report to the FIU of any transaction which they have reason to believe may be a suspicious transaction (http://www.fiumauritius.org/index.php).	There is an obligation on every bank, financial institution, cash dealer or member of a relevant profession or occupation to make a report to the FIU of any transaction which they have reason to believe may be a suspicious transaction (http://www.fiumauritius.org/index.php).	There is an obligation on every bank , financial institution , cash dealer or member of a relevant profession or occupation to make a report to the FIU of any transaction which they have reason to believe may be a suspicious transaction ( http://www.fiumauritius.org/index.php ) .	There is an obligation on every bank, financial institution, cash dealer or member of a relevant profession or occupation to make a report to the FIU of any transaction which they have reason to <mark>believe</mark> may be a suspicious transaction (http://www.fiumauritius.org/index.php).	have reason to believe may be a suspicious transaction (http://www.fiumauritius.org/index.php).	believe	<mark>believe</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	n	Know Your Customer: Quick Reference Guide	PWC	2016
cffebf08-fc0b-11ed-88fc-93f4be02dfa8	neigbor153.txt	Protected areas also represent a commitment to future generations. Most people also believe that we have an ethical obligation to prevent species loss due to our own actions and this is supported by the teachings of the large majority of the world's religious faiths (Dudley et al., 2006). Protecting iconic landscapes and seascapes is seen as being important from a wider cultural perspective as well, and flagship protected areas are as important to a country's heritage as, for example, famous buildings such as the Notre Dame Cathedral or the Taj Mahal, or national football teams or works of art.	Most people also believe that we have an ethical obligation to prevent species loss due to our own actions and this is supported by the teachings of the large majority of the world's religious faiths (Dudley et al., 2006).	Most people also believe that we have an ethical obligation to prevent species loss due to our own actions and this is supported by the teachings of the large majority of the world 's religious faiths ( Dudley et al ., 2006 ) .	Most people also <mark>believe</mark> that we have an ethical obligation to prevent species loss due to our own actions and this is supported by the teachings of the large majority of the world's religious faiths (Dudley et al., 2006).	Most people also believe that we have an ethical obligation to prevent species loss	believe	<mark>believe</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	Guidelines for Applying Protected Area Management Categories	Nigel Dudley, Sue Stolton, Peter Shadie	2013
cffebf09-fc0b-11ed-88fc-93f4be02dfa8	neigbor32.txt	Jobs and social cohesion 127 And people's trust in government and their confidence in institutions may increase if they believe that job opportunities are available to them either now or in the future. Jobs can influence social cohesion through their effects on social identity, networks, and fairness.	Jobs and social cohesion 127 And people's trust in government and their confidence in institutions may increase if they believe that job opportunities are available to them either now or in the future.	Jobs and social cohesion 127 And people 's trust in government and their confidence in institutions may increase if they believe that job opportunities are available to them either now or in the future .	Jobs and social cohesion 127 And people's trust in government and their confidence in institutions may increase if they <mark>believe</mark> that job opportunities are available to them either now or in the future.	increase if they believe that job opportunities are available to them either now or	believe	<mark>believe</mark>	3	2	Belief/attitude<::>Belief/attitude	2	Belief/attitude	n	World Development Report 2013: Jobs	World Bank	2012
cffebf0a-fc0b-11ed-88fc-93f4be02dfa8	neigbor190.txt	Q8. Are there minimum transaction thresholds, under which customer due diligence is not required? If Yes, what are the various thresholds in place? A8. In the case of transactions carried out by a non-account based customer (walk-in customer) where the amount of the transaction is lower than INR50,000 (approx. USD750), the customer's identity and address do not require verification. However, if a bank has reason to believe that a customer is intentionally structuring a transaction into a series of transactions below the threshold of INR50,000 (approx. USD750), the bank should verify the identity and address of the customer and also consider filling in a suspicious transaction report. Verification of identity must be conducted in respect of all cross border payments.	However, if a bank has reason to believe that a customer is intentionally structuring a transaction into a series of transactions below the threshold of INR50,000 (approx.	However , if a bank has reason to believe that a customer is intentionally structuring a transaction into a series of transactions below the threshold of INR50 ,000 ( approx .	However, if a bank has reason to <mark>believe</mark> that a customer is intentionally structuring a transaction into a series of transactions below the threshold of INR50,000 (approx.	has reason to believe that a customer is intentionally structuring a transaction into a	believe	<mark>believe</mark>	3	3	Not belief/attitude<::>Belief/attitude<::>Belief/attitude	2	Belief/attitude	n	Know Your Customer: Quick Reference Guide	PWC	2016
cffebf0b-fc0b-11ed-88fc-93f4be02dfa8	neigbor32.txt	"The rule of law. Across countries, the presence of institutions that protect property rights, uphold the rule of law, and rein in corruption is associated with higher levels of development.90 Property rights foster private sector growth by allowing firms to invest without the fear that their assets will be stolen or confiscated.91 The ability to enforce contracts widens the circle of potential suppliers and customers, as personal connections become less important in establishing trust.92 The rule of law has direct implications for the growth of firms and jobs. Entrepreneurs who believe their property rights are secure reinvest more of their profits than those who do not.93 Conversely, rampant crime and violence are likely to drive firms away and discourage domestic and foreign investment.94 Across countries, investment climate surveys 26 WO R L D D EV E LO P M E N T R E P O RT 2 0 1 3 youth, women, and the less skilled. In Colombia and Indonesia, minimum wage increases had only a modest overall effect but the employment impact was stronger for young workers.101 Regulations more clearly affect job flows, creating ""stickiness"" in the labor market and slowing the pace of labor reallocation. 102 While this hinders economic efficiency, the evidence on productivity is fairly inconclusive, though admittedly scarce.103 In developing countries, collective bargaining does not have a major impact outside the public sector and activities characterized by limited competition, where there are rents to share.104 Unions consistently raise wages for workers. Studies place this premium in the 5 to 15 percent range in Mexico; around 5 percent in Korea; and at 10 to 20 percent in South Africa.105 The costs in terms of reduced jobs are not so clear, however. In some countries, though not all, the tradeoff seems to be lower employment, but even then the magnitudes are relatively small. The limited evidence on union effects on productivity is also mixed.106 The main challenges are extending voice to those who are not wage earners, so that the constraints facing their farms and microenterprises can be addressed, and organizing collective bargaining in a way that enhances productivity."	Entrepreneurs who believe their property rights are secure reinvest more of their profits than those who do not.93 Conversely, rampant crime and violence are likely to drive firms away and discourage domestic and foreign investment.94 Across countries, investment climate surveys 26 WO R L D D EV E LO P M E N T R E P O RT 2 0 1 3 youth, women, and the less skilled.	Entrepreneurs who believe their property rights are secure reinvest more of their profits than those who do not.93 Conversely , rampant crime and violence are likely to drive firms away and discourage domestic and foreign investment.94 Across countries , investment climate surveys 26 WO R L D D EV E LO P M E N T R E P O RT 2 0 1 3 youth , women , and the less skilled .	Entrepreneurs who <mark>believe</mark> their property rights are secure reinvest more of their profits than those who do not.93 Conversely, rampant crime and violence are likely to drive firms away and discourage domestic and foreign investment.94 Across countries, investment climate surveys 26 WO R L D D EV E LO P M E N T R E P O RT 2 0 1 3 youth, women, and the less skilled.	Entrepreneurs who believe their property rights are secure reinvest more of their profits	believe	<mark>believe</mark>	3	2	Belief/attitude<::>Belief/attitude	2	Belief/attitude	n	World Development Report 2013: Jobs	World Bank	2012
cffebf0c-fc0b-11ed-88fc-93f4be02dfa8	neigbor82.txt	The authorities continued to dispatch workers to other countries, including China and Russia. The number of workers deployed was hard to estimate and believed to be in decline, as some countries, such as China, Kuwait, Poland, Qatar and Sri Lanka, stopped renewing or issuing additional work visas to North Koreans in order to comply with the new UN sanctions on North Korea's economic activities abroad. North Korea derived part of its state revenue from these workers, who did not receive their wages directly from their employers, but from their government after significant deductions. The North Korean authorities maintained tight control on the workers' communications and movement, and deprived them of information about workers' rights in the host countries. Workers remaining in their host countries continued to be subjected to excessive working hours and were vulnerable in terms of occupational health and safety. The media reported cases of North Koreans dying while working in Russia, which hosted at least 20,000 North Koreans. In May, two construction workers died in the Russian capital Moscow after complaining of breathing problems; they were believed to have suffered acute heart failure. A subcontractor of a World Cup stadium project in St Petersburg, where a worker died from heart failure in November 2016, said in a media interview that many workers suffered from severe fatigue due to working long hours continuously for months without rest days.	The number of workers deployed was hard to estimate and believed to be in decline, as some countries, such as China, Kuwait, Poland, Qatar and Sri Lanka, stopped renewing or issuing additional work visas to North Koreans in order to comply with the new UN sanctions on North Korea's economic activities abroad.	The number of workers deployed was hard to estimate and believed to be in decline , as some countries , such as China , Kuwait , Poland , Qatar and Sri Lanka , stopped renewing or issuing additional work visas to North Koreans in order to comply with the new UN sanctions on North Korea 's economic activities abroad .	The number of workers deployed was hard to estimate and <mark>believed</mark> to be in decline, as some countries, such as China, Kuwait, Poland, Qatar and Sri Lanka, stopped renewing or issuing additional work visas to North Koreans in order to comply with the new UN sanctions on North Korea's economic activities abroad.	to estimate and believed to be in decline, as some countries, such	believed	<mark>believed</mark>	3	3	Belief/attitude<::>Belief/attitude<::>Belief/attitude	3	Belief/attitude	b	Amnesty International Report 2017/18: THE STATE OF THE WORLD’S HUMAN RIGHTS	Amnesty International Ltd	2018
