uuid	file	sentence	tok_sentence	paragraph	trimmed_sent	title	source	year
19d27ae3-fc0e-11ed-88fc-93f4be02dfa8	neigbor15.txt	McAuliffe, M. and M. Ruhs .	McAuliffe , M. and M. Ruhs .	McAuliffe, M. and M. Ruhs .	McAuliffe, M. and M. Ruhs .	WORLD MIGRATION REPORT 2020	International Organization for Migration (IOM)	2019
19d27ae4-fc0e-11ed-88fc-93f4be02dfa8	neigbor163.txt	Unsafe drinking water, poor hygiene practices and inadequate health services contribute to a cycle where the well-being of the most vulnerable is compromised.	Unsafe drinking water , poor hygiene practices and inadequate health services contribute to a cycle where the well-being of the most vulnerable is compromised .	For 2020, UN agencies and humanitarian partners are requesting approximately $107 million to target an estimated 5.5 million people with humanitarian assistance. Food security, agriculture and nutrition will remain key response priorities due to low agricultural production and increasingly frequent dry spells and floods. Unsafe drinking water, poor hygiene practices and inadequate health services contribute to a cycle where the well-being of the most vulnerable is compromised. Therefore, humanitarian interventions will continue to focus on a multisector response to address the multiple drivers of humanitarian needs in the country. The plan will continue to focus on women and children, in particular children under age 5 and pregnant and lactating women, who represent 32 per cent and 7 per cent, respectively, of the total number of people targeted.	Unsafe drinking water, poor hygiene practices and inadequate health services contribute to a cycle where the well-being of the most vulnerable is compromised.	Global Humanitarian Overview 2020 [EN]	United Nations Office for the Coordination of Humanitarian Affairs (OCHA)	2019
19d27ae5-fc0e-11ed-88fc-93f4be02dfa8	neigbor15.txt	For decades, the international system has had standards and institutions to facilitate cooperation and the maintenance of order on issues of finance and trade, arms control and refugees, and many other issues.	For decades , the international system has had standards and institutions to facilitate cooperation and the maintenance of order on issues of finance and trade , arms control and refugees , and many other issues .	"United Nations Member States crafted the Global Compact for Migration with an eye to the long term, but it already has one accomplishment to its credit: it has brought one of the last outstanding global issues into the United Nations in a formal, negotiated manner. For decades, the international system has had standards and institutions to facilitate cooperation and the maintenance of order on issues of finance and trade, arms control and refugees, and many other issues. More recently, it has developed a framework for dealing with climate change. But international migration remained a patchwork of unilateral, bilateral and regional policies, long considered too divisive for general debate within the United Nations as a stand-alone issue beyond its interrelationship with development. With the Global Compact for Migration, a framework of common expectations and obligations has at long last emerged. 72 GMG, N.D.; United Nations Network on Migration, 2018. 73 see the terms of references: UNDP, Multi-Partner Trust Fund office, 2019. 74 United Nations network on migration, 2018. 309WORLD MIGRATION REPORT 2020 The very first draft of the Global Compact for Migration identified a ""coherent UN system"" as necessary for effective implementation. As mentioned, the Compact welcomed the Secretary-General's decision to replace the Global Migration Group of United Nations agencies, with a United Nations Migration Network with clearer and consistent leadership from IOM and a small group of United Nations entities that have movement of people as an important part of their mandate or capacities. The agreement that brought IOM into the United Nations system as a related organization in 2016 gives the United Nations system unprecedented capacity to help its members address migration issues. The United Nations has also strengthened its capacity by establishing the Network on Migration. With this structure in place as of December 2018, the United Nations system should be positioned to offer coherent and comprehensive support to States as they set about implementing their commitments to safe, orderly and regular migration."	For decades, the international system has had standards and institutions to facilitate cooperation and the maintenance of order on issues of finance and trade, arms control and refugees, and many other issues.	WORLD MIGRATION REPORT 2020	International Organization for Migration (IOM)	2019
19d27ae6-fc0e-11ed-88fc-93f4be02dfa8	neigbor13.txt	Trade in commercial services between residents and non-residents of an economy (BPM6), exports and imports Exports (credits or receipts) and imports (debits or payments) of commercial services are included in balance of payments statistics, in conformity with the concepts, definitions and classification of the sixth (2009) edition of the IMF Balance of Payments and International Investment Position Manual (BPM6) as well as the 2010 edition of the Manual on Statistics of International Trade in Services (MSITS 2010).	Trade in commercial services between residents and non residents                                                    of an economy ( BPM6 ) , exports and imports Exports ( credits or receipts ) and imports ( debits or payments ) of commercial services are included in balance of payments statistics , in conformity with the concepts , definitions and classification of the sixth ( 2009 ) edition of the IMF Balance of Payments and International Investment Position Manual ( BPM6 ) as well as the 2010 edition of the Manual on Statistics of International Trade in Services ( MSITS 2010 ) .	Trade in commercial services between residents and non-residents of an economy (BPM6), exports and imports Exports (credits or receipts) and imports (debits or payments) of commercial services are included in balance of payments statistics, in conformity with the concepts, definitions and classification of the sixth (2009) edition of the IMF Balance of Payments and International Investment Position Manual (BPM6) as well as the 2010 edition of the Manual on Statistics of International Trade in Services (MSITS 2010).	Trade in commercial services between residents and non-residents of an economy (BPM6), exports and imports Exports (credits or receipts) and imports (debits or payments) of commercial services are included in balance of payments statistics, in conformity with the concepts, definitions and classification of the sixth (2009) edition of the IMF Balance of Payments and International Investment Position Manual (BPM6) as well as the 2010 edition of the Manual on Statistics of International Trade in Services (MSITS 2010).	World Trade Statistical Review 2019	Barbara d’Andrea-Adrian, Alejandra Barajas Barbosa, Lori Chang, Christophe Degain, Florian Eberth, Antonella Liberatore, Kathryn Lundquist	2019
19d27ae7-fc0e-11ed-88fc-93f4be02dfa8	neigbor82.txt	Brazil: Over 90 men killed in Brazilian prison riots (Amr 19/5444/2017) .	Brazil : Over 90 men killed in Brazilian prison riots ( Amr 19/5444 / 2017 ) .	Juvenile detention facilities remained overcrowded and detainees suffered inhuman and degrading conditions. In Ceara state, torture by state officials was recurrent inside juvenile detention facilities. During the year, there were at least 20 riots and 37 escapes from units in Ceara. Out of 200 formal reports of torture of adolescents inside juvenile detention units in Ceara between 2016 and September 2017, only two reports resulted in a formal inquiry by the state for further investigation. Reports of the chaotic state of the juvenile justice system in Ceara resulted in a formal visit by Brazil's National Human Rights Council in September. Early in the year, Espirito Santo state held 1,198 juvenile detainees in a system with capacity for only 754, a rate of overcrowding of more than 39%. Of the state's 13 detention facilities, only four were operating within their intended capacity. On 3 June, seven boys aged between 15 and 17 were killed by other teenage detainees during a riot in a juvenile detention facility in Lagoa Seca, Paraiba state. On 13 November, four young boys were killed by hooded men who entered a juvenile justice system facility where the boys were detained. 1. Brazil: Law leading to military impunity sanctioned (Amr 19/7340/2017) 2. Brazil: Police killings, impunity and attacks on defenders: Amnesty International submission for the UN Universal Periodic Review - 27th session of the UPR working group, May 2017 (AMR 19/5467/2016) 3. Brazil: Over 90 men killed in Brazilian prison riots (Amr 19/5444/2017) .	Brazil: Over 90 men killed in Brazilian prison riots (Amr 19/5444/2017) .	Amnesty International Report 2017/18: THE STATE OF THE WORLD’S HUMAN RIGHTS	Amnesty International Ltd	2018
19d27ae8-fc0e-11ed-88fc-93f4be02dfa8	neigbor187.txt	This technology speeds up the discovery of gene functions enormously, doing in weeks what would have previously taken years.	This technology speeds up the discovery of gene functions enormously , doing in weeks what would have previously taken years .	"A new tool under development for the work is the ""microarray,"" in which about 20,000 genes can be displayed at once on a ""chip,"" which can then be used as a sensor to detect genetic messages that are turned on or off when plants are exposed to stress. Thus, the expression of the genes can be recorded and analyzed to give a total picture of how the plant behaves in different conditions. In this way, scientists will be able to identify hundreds or perhaps thousands of genes that may combine and interact to achieve a particular function, such as tolerating drought, resisting disease, or producing more nutritious grains. This technology speeds up the discovery of gene functions enormously, doing in weeks what would have previously taken years."	This technology speeds up the discovery of gene functions enormously, doing in weeks what would have previously taken years.	Rice Almanac: Source Book for the Most Important Economic Activity on Earth	J.L. Maclean, D.C. Dawe, B. Hardy, and G.P. Hettel	2002
19d27ae9-fc0e-11ed-88fc-93f4be02dfa8	neigbor169.txt	Cote d'ivoire 2002-2013 Sri Lanka 2002-2013 Vietnam 2002-2013 share of GDP in agriculture (2013) share of Labor in Agriculture (2013) 10 30 50 70 5 6 7 8 9 10 11 12 LN GDP/capita constant 2005 US$ so, what can then be the contribution of agriculture to a country's jobs agenda, besides releasing labor?	Cote d'ivoire 2002-2013 Sri Lanka 2002-2013 Vietnam 2002-2013 share of GDP in agriculture ( 2013 ) share of Labor in Agriculture ( 2013 ) 10 30 50 70 5 6 7 8 9 10 11 12 LN GDP / capita constant 2005 US $ so , what can then be the contribution of agriculture to a country 's jobs agenda , besides releasing labor ?	Cote d'ivoire 2002-2013 Sri Lanka 2002-2013 Vietnam 2002-2013 share of GDP in agriculture (2013) share of Labor in Agriculture (2013) 10 30 50 70 5 6 7 8 9 10 11 12 LN GDP/capita constant 2005 US$ so, what can then be the contribution of agriculture to a country's jobs agenda, besides releasing labor? Both these labor supply and demand side perspectives on the role of agriculture would suggest that increasing labor productivity during the structural transformation should mainly happen through a reduction of the agricultural labor force and that to do so, policies should especially focus on removing barriers to sectoral (and spatial) migration. Yet, even though popular, there are a number of important caveats to these perspectives. For example, recent evidence indicates that the frequently cited agricultural productivity gap measures based on the national accounts abstract from a series of confounding factors and measurement issues, which exaggerate the gap. This suggests that the gains from sectoral movements, and thus the incentives to move, may not be as large as commonly purported. Furthermore, the view that labor is less productive in agriculture --a viewpoint that is especially well established in macro policy circles --has often also been taken as evidence that labor in agriculture is intrinsically less productive, and thus less worthy of investment. This sits oddly with the agricultural success stories of agro-exporters such as the United States and the Netherlands, and more recently also Vietnam, Chile, and Peru.	Cote d'ivoire 2002-2013 Sri Lanka 2002-2013 Vietnam 2002-2013 share of GDP in agriculture (2013) share of Labor in Agriculture (2013) 10 30 50 70 5 6 7 8 9 10 11 12 LN GDP/capita constant 2005 US$ so, what can then be the contribution of agriculture to a country's jobs agenda, besides releasing labor?	Cote d'Ivoire Jobs Diagnostic: Employment, Productivity, and Inclusion for Poverty Reduction	Luc Christiaensen, Patrick Premand	2017
19d27aea-fc0e-11ed-88fc-93f4be02dfa8	neigbor169.txt	The expansion of rice, cotton, and cashew production is promising from a jobs perspective (Figure7).	The expansion of rice , cotton , and cashew production is promising from a jobs perspective ( Figure7 ) .	Strong productivity growth in rice, cashew, and cotton diversified the cash crop mix, but there has been no real diversification yet into high-value agricultural products. The expansion of rice, cotton, and cashew production is promising from a jobs perspective (Figure7). Rice emerges as one of the most labor-intensive crops in Coted'Ivoire. Cotton and cashew producers make most extensive use of hired labor. Both crops are grown widely in the north, where poverty rates are highest. The expansion of their production also holds promise for inclusive employment. An increasing share of cashew nuts are also processed locally (especially in the central region), creating potential off-farm employment opportunities in secondary towns. Vegetable production is also highly labor intensive, but its potential has so far not been fully exploited. Overall, these trends are promising, but scope for improvement remains.	The expansion of rice, cotton, and cashew production is promising from a jobs perspective (Figure7).	Cote d'Ivoire Jobs Diagnostic: Employment, Productivity, and Inclusion for Poverty Reduction	Luc Christiaensen, Patrick Premand	2017
19d27aeb-fc0e-11ed-88fc-93f4be02dfa8	neigbor243.txt	One M.S. student, Jason Bertgold (U.S.A., male), completed degree in 2001 with research on Senegal's trade policies, economic impacts of Partnership Agreements between EU and the ACP states on Senegalese groundnut sector; he has returned to ARS/Auburn University.	One M.S. student , Jason Bertgold ( U.S.A ., male ) , completed degree in 2001 with research on Senegal 's trade policies , economic impacts of Partnership Agreements between EU and the ACP states on Senegalese groundnut sector ; he has returned to ARS / Auburn University .	One Ph.D. student James Gray (U.S.A., male) completed his degree in 2002 with research on economic spatial equilibrium analysis and international trade policies in Senegal; he is now Assistant Provost at the University of Liberia. One M.S. student, Jason Bertgold (U.S.A., male), completed degree in 2001 with research on Senegal's trade policies, economic impacts of Partnership Agreements between EU and the ACP states on Senegalese groundnut sector; he has returned to ARS/Auburn University.	One M.S. student, Jason Bertgold (U.S.A., male), completed degree in 2001 with research on Senegal's trade policies, economic impacts of Partnership Agreements between EU and the ACP states on Senegalese groundnut sector; he has returned to ARS/Auburn University.	The Peanut Collaborative Research Support Program (PCRSP)	Dely Gapasin, John Cherry, John Gilbert, Ron Gibbons, Geoff Hildebrand, Darrell Nelson, Howard Valentine, Handy Williamson	2005
19d27aec-fc0e-11ed-88fc-93f4be02dfa8	neigbor121.txt	The project is s7ll ongoing and it will be interes7ng to analyze such ques7ons.	The project is s7ll ongoing and it will be interes7ng to analyze such ques7ons .	The first results are promising since there are already more than 170 ac7vi7es that have been shared among around 500 teachers. However, it cannot be excluded that users on the plaZorm are solely the pioneers that share materials among each other. The aim of a community like Roteco is however to engage also the beginners in order to expand the presence of robo7cs. These teachers need to be supported and followed in the community. The project is s7ll ongoing and it will be interes7ng to analyze such ques7ons. During the follow weeks, a survey is planned in order to analyze who are the teachers that are most ac7ve in a community, how much they share, how many contacts they build online and what they need in order to foster those elements. We are looking for ins7tu7onal partners in teacher training such as universi7es or training centers. We are looking for partners in the educa7onal robo7cs research sector who want to publish and share their research. We are looking for teachers and schools in the private or public sector commi]ed to change! Some of the ac7vi7es proposed by the community member are related to the sustainable field. Robo7cs is used as a tool but the content can be transposed into what the users need.	The project is s7ll ongoing and it will be interes7ng to analyze such ques7ons.	The Coronavirus (COVID-19) Response – ICT Case Repository	WSIS Stocktaking	2020
