sentence	paragraph	quality_controlled
For instance, policies for jobs may aim to improve compliance with rights, prosecuting forced labor and harmful forms of child labor.	A key question to ask is what purpose policies serve (figure 7.3). For instance, policies for jobs may aim to improve compliance with rights, prosecuting forced labor and harmful forms of child labor. Because fundamental labor rights and principles have been endorsed by most countries, promoting compliance with rights amounts to providing a global public good. Thus, interventions against human trafficking or child prostitution in one country are unlikely to have adverse effects in other countries and do not lead to a competition for jobs.	n
Van der Geest, K. 2011 The Dagara farmer at home and away: Migration, environment and development in Ghana.	Van der Geest, K. 2011 The Dagara farmer at home and away: Migration, environment and development in Ghana.	n
Agriculture occupies 44% of the workforce and accounts for 25% of the GDP.	Yield has increased steadily during the last five years, but in 2000 it was still low. The major constraints to sustainable rice production are * Imbalance in the use of crop inputs * The dominant use of varieties with high grain quality (basmati), especially in the Kalar tract PAKISTAN, a South Asian country facing the Arabian Sea, with 796,000 km2 in area, is largely mountainous and semiarid. However, on the eastern side, where Pakistan borders India, the Indus River runs nearly the full length of the country. Most agricultural activities are concentrated on its banks, as is most of the population. Arable land is around one-quarter of the total. Agriculture occupies 44% of the workforce and accounts for 25% of the GDP. The main crops are cotton and wheat. * Low plant populations * Waterlogging and salinity * Shortage of irrigation water * Yield losses caused by insects, pests, diseases, and weeds * Inadequate and inefficient postharvest operations * Cold damage to the rice crop because of cool air temperature and cold irrigation water in northern mountain areas Production season Planting Harvesting Main season May-Jul Oct-Nov Rice around the world 207 Basic statistics, Pakistan 1985 1990 1995 1998 1999 2000 Rice Area harvested (ha) 1,863,200 2,112,700 2,161,800 2,423,600 2,515,400 2,312,200 Yield (t/ha) 2.3 2.3 2.8 2.9 3.1 3.0 Production (t) 4,378,400 4,891,200 5,949,750 7,010,700 7,733,400 7,000,000 Rice imports (t) 7 25 68 854 1,471 na Paddy imports (t) 0 0 44 1 0 na Rice exports (t) 718,686 743,889 1,852,267 1,971,601 1,791,193 na Others Population, total (x103) 101,202 119,155 136,244 148,166 152,331 na Population, agriculture (x103) 61,579 66,220 72,360 76,579 78,021 na Agricultural area (x103 ha) 25,610 25,940 26,550 27,040 na na Irrigated agricultural area (x103 ha) 15,760 16,940 17,200 18,000 na na Total fertilizer consumption (t) 1,511,119 1,892,899 2,507,669 2,461,254 na na Tractors used in agric. (no.) 156,633 265,728 304,992 320,500 Na NA Source: Faostat online database.	n
Oportunidades para Restauracao de Paisagens e Florestas na porcao paulista do Vale do Paraiba: Plano de Desenvolvimento Florestal Territorial para a porcao paulista do Vale do Paraiba.	Second Bonn Challenge Progress Report Ministry for the Coordination of Environmental Affairs (2014). Fifth National Report on the Implementation of Convention on Biological Diversity in Mozambique. Maputo, Mozambique: Micoa. www.cbd.int/doc/ world/mz/mz-nr-05-en.pdf. Accessed 15 May 2019. Ministry of Environment, Forest and Climate Change (2015). India. First biennial update report to the United Nations Framework Convention on Climate Change [PDF]. https://unfccc.int/resource/docs/natc/ indbur1.pdf. Accessed 16 May 2019. Ministry of Environment, Science, Technology and Innovation, and Environmental Protection Agency (2018). Ghana's second biennial update report. https://unfccc.int/sites/default/files/resource/gh_bur2_ rev-2.pdf. Accessed 15 May 2019. Ministry of Forests and Wildlife. (2017). AFR100/Bonn Challenge. Cameroon 2017/2018. Draft report. Ministry of Natural Resources, Energy and Mining (2017). A framework for monitoring progress on Malawi's national forest landscape restoration strategy. https://afr100.org/sites/default/files/Monitoring_ Malawi_Report_final_web2.pdf. Accessed 15 May 2019. National Environment Management Authority (2016). National Biodiversity Strategy and Action Plan ii (2015-2025). Kampala, Uganda. www.cbd.int/doc/ world/ug/ug-nbsap-v2-en.pdf. Accessed 15 May 2019. Oliveira, M. 'Como transformar compromisso de restauracao em acao?' Wri Brasil [Blog] (28 November 2017). https://wribrasil.org.br/pt/ blog/2017/11/como-transformar-compromisso-derestauracao-em-acao. Accessed 15 May 2019. Pacto Pela Restauracao da Mata Atlantica (2018). A Reserva Legal que queremos para a Mata Atlantica. Brasilia, Brasil. http://docs.wixstatic.com/ugd/ c0d11f_0ce696672e4a454e979034ab8ee50bd8.pdf. Accessed 15 May 2019. Padovezi, a., Oliveira, m., Matsumoto, M.H. And FeltranBarbieri, R. (2018). Oportunidades para Restauracao de Paisagens e Florestas na porcao paulista do Vale do Paraiba: Plano de Desenvolvimento Florestal Territorial para a porcao paulista do Vale do Paraiba. Porto Alegre: Ideograf. https://doi.org/10.13140/ RG.2.2.34222.15683. Accessed 15 May 2019. Pagiola, S. (2008). 'Payments for environmental services in Costa Rica'. Ecological Economics 65 (4): 712- 724. https://doi.org/10.1016/j.ecolecon.2007.07.033. Accessed 15 May 2019.	n
Food industry pilot plant established with CRSP funds to allow industry and entrepreneurs to evaluate new products.	Food industry pilot plant established with CRSP funds to allow industry and entrepreneurs to evaluate new products.	n
What is the language of the labeling?	"Branding, Labeling, and Packaging Consumers are concerned with both the product itself and the product's secondary features, such as packaging, warranties, and services. Branding and labeling products in foreign markets raise new considerations for your company, such as: * Are international brand names important to promote and distinguish a product? Conversely, should local brands or private labels be used to heighten local interest? * Are the colors used on labels and packages offensive or attractive to the foreign buyer? For example, in some countries certain colors are associated with death. * Can labels and instructions be produced in official or customary languages if required by law or practice? * Does information on product content and country of origin have to be provided? * Are weights and measures stated in the local unit? Even with consumer products, packaging and describing contents in metric measurements (e.g., kilograms, liters) can be important. * Must each item be labeled individually? What is the language of the labeling? For example, ""Made in the USA"" may not be acceptable; the product may need to be labeled in the language spoken by the country's consumers. There may be special labeling requirements for foods, pharmaceuticals, and other products. * Are local tastes and knowledge considered? A cereal box with the picture of a U.S. athlete on it may not be as attractive to overseas consumers as the picture of a local sports hero."	n
They take the form of knowledge that is specific to a particular occupation or group of occupations.	Technical skills: They enable the performance of specific tasks. They take the form of knowledge that is specific to a particular occupation or group of occupations.	n
Consistent with its policies, IUCN applies the following principles of good governance as they relate to protected areas overlapping with indigenous peoples' traditional lands, waters and resources: * Protected areas established on indigenous lands, territories and resources should respect the rights of traditional owners, custodians, or users to such lands, territories and resources; * Protected area management should also respect indigenous peoples' institutions and customary laws; * Therefore protected areas should recognise indigenous owners or custodians as holders of the statutory powers in their areas, and therefore respect and strengthen indigenous peoples' exercising of authority and control of such areas.	Consistent with its policies, IUCN applies the following principles of good governance as they relate to protected areas overlapping with indigenous peoples' traditional lands, waters and resources: * Protected areas established on indigenous lands, territories and resources should respect the rights of traditional owners, custodians, or users to such lands, territories and resources; * Protected area management should also respect indigenous peoples' institutions and customary laws; * Therefore protected areas should recognise indigenous owners or custodians as holders of the statutory powers in their areas, and therefore respect and strengthen indigenous peoples' exercising of authority and control of such areas.	n
Sixty-five to seventy percent of its graduates settle in agriculture.	Overcome the financing gap. As highlighted in the rice value chain study, the ability of farmers and agribusinesses to invest is importantly determined by their access to financial services. Initiatives to expand access to finance in rural areas have as yet proven unsuccessful. Even microfinancial institutions (MFIs) devote only 5 percent of their portfolio to financing agriculture. As a result, only an estimated 14 percent of the rural population have access to formal financial services. A comprehensive agricultural finance diagnostic is called for. Successful development offinancial services will, among others, require a supportive legal and regulatory framework that enables the enforcement of legal contracts in the agricultural sector. Market-friendly government support mechanisms (such as partial credit guarantee schemes and public-private partnerships to encourage the development of agricultural insurance) will also be needed. 71 The training model followed by the Songhai agricultural training center in Porto Novo, Benin provides just one such example. It is locally owned and privately managed. Instruction favors application, with more than 75 percent of time devoted to practical subjects. Innovations in the training include creation of a business center of agricultural products and a credit program to help trainees establish themselves after training. About 20 percent of the trainees are women and 60 percent come from rural areas. Sixty-five to seventy percent of its graduates settle in agriculture. Other African institutes which successfully adapted their AET programs include Makerere in Uganda, Jomo Kenyatta in Kenya, as well as institutes in Mauritius. For a comprehensive review of AET reform guidance, see module 2 in Agricultural Innovation Systems, An Investment Sourcebook (WorldBank 2012b). 72 Deininger, Xia, and Savastano (2015) 83 .	n
In the 2013 national employment survey (ENSETE 2013), more than half of household enterprise owners (52.7 percent) cited lack of capital as a major problem for start-up.79 Qualitative data provides highly consistent information, showing that the lack of access to adequate financial services is both a constraint to entry as well as for household enterprise operation, also because it limits working capital and opportunities for longer-term investments.	Capital constraints are the most binding for individuals in the sector. In the 2013 national employment survey (ENSETE 2013), more than half of household enterprise owners (52.7 percent) cited lack of capital as a major problem for start-up.79 Qualitative data provides highly consistent information, showing that the lack of access to adequate financial services is both a constraint to entry as well as for household enterprise operation, also because it limits working capital and opportunities for longer-term investments. The very limited or nonexistent financial services compel (potential) micro-entrepreneurs in the sector to mostly rely on personal savings or on family and friends networks for financing.80 This situation is in line with earlier findings in other countries in Africa (Filmer et al. 2014).	n
